,cue,response,humanA1,humanA2,humanB1,humanB2,frequency
1149,sweater,jumper,T,T-coord,T,T-coord,6
1150,sweater,warm,E,E-prop,E,E-prop,12
1151,sweater,wool,E,E-comp,E,E-comp,8
1152,sword,fight,S,S-action,S,S-action,7
1153,sword,sharp,E,E-prop,E,E-prop,4
1154,sword,shield,S,S-obj,S,S-obj,4
1155,tail,cat,E,E-whole,E,E-prop,9
1156,tail,dog,E,E-whole,E,E-prop,12
1157,tail,end,T,T-syn,S,S-targetstate,6
1158,tail,head,T,T-ant,T,T-ant,3
1159,tattoo,arm,S,S-loc,S,S-loc,2
1160,tattoo,art,T,T-super,T,T-super,5
1161,tax,evasion,S,S-action,S,S-action,2
1162,tax,government,S,S-agent,S,S-agent,5
1163,tax,income,T,T-sub,T,T-sub,6
1164,tax,money,E,E-comp,E,E-comp,13
1165,tax,pay,S,S-action,S,S-action,3
1166,tea,coffee,T,T-coord,T,T-coord,9
1167,tea,cup,S,S-loc,S,S-obj,5
1168,tea,drink,T,T-super,S,S-action,7
1169,tea,party,S,S-time,S,S-time,6
1170,teacher,professor,T,T-sub,T,T-sub,3
1171,teenager,acne,E,E-comp,E,E-prop,2
1172,teenager,angst,E,E-prop,E,E-prop,3
1173,teenager,kid,T,T-coord,T,T-syn,3
1174,teenager,youth,T,T-coord,T,T-syn,4
1175,teeth,bite,S,S-function,S,S-action,5
1176,teeth,clean,S,S-targetstate,S,S-action,1
1177,telescope,galileo,I,I-contin,I,I-contin,1
1178,telescope,space,S,S-obj,S,S-loc,6
1179,telescope,star,S,S-obj,S,S-obj,3
1180,telescope,stars,S,S-obj,S,S-obj,19
1181,tennis,ball,S,S-obj,E,E-comp,18
1182,tennis,balls,S,S-obj,S,S-obj,2
1183,tennis,racquet,S,S-obj,E,E-comp,7
1184,tent,camp,S,S-action,S,S-action,5
1185,tent,camping,S,S-loc,S,S-action,19
1186,tent,pitch,S,S-action,S,S-action,5
1187,tent,pole,E,E-comp,E,E-comp,3
1188,tent,pup,T,T-sub,T,T-sub,2
1189,theory,Einstein,S,S-agent,S,S-agent,2
1190,theory,hypothesis,E,E-comp,E,E-comp,7
1191,theory,practice,T,T-ant,T,T-ant,2
1192,theory,science,E,E-whole,E,E-whole,10
1193,thermometer,heat,S,S-context,S,S-context,6
1194,thermometer,mercury,E,E-comp,E,E-comp,8
1195,thief,burglar,T,T-coord,T,T-syn,5
1196,thief,crook,T,T-coord,T,T-super,2
1197,thief,robber,T,T-coord,T,T-syn,10
1198,thief,steal,E,E-beh,E,E-beh,13
1199,throat,cut,S,S-action,S,S-action,2
1200,throat,neck,T,T-coord,E,E-whole,10
1201,throat,sore,S,S-targetstate,S,S-targetstate,13
1202,thumb,finger,T,T-super,T,T-coord,18
1203,thumb,nail,E,E-comp,E,E-comp,10
1204,tiger,lion,T,T-coord,T,T-coord,13
1205,tiger,stripes,E,E-comp,E,E-prop,14
1206,time,hour,E,E-comp,E,E-comp,4
1207,time,minute,E,E-comp,E,E-comp,1
1208,toe,big,T,T-sub,T,T-sub,5
1209,toe,nail,E,E-comp,E,E-comp,12
1210,toe,stub,S,S-targetstate,S,S-action,4
1211,tongue,cheek,T,T-coord,T,T-coord,5
1212,tongue,language,T,T-syn,T,T-syn,4
1213,tongue,mouth,S,S-loc,S,S-loc,14
1214,toothbrush,clean,S,S-context,S,S-action,6
1215,toothbrush,tooth,S,S-obj,S,S-obj,3
1216,towel,dry,S,S-function,S,S-action,13
1217,towel,wet,S,S-context,S,S-context,10
1218,tower,castle,E,E-whole,S,S-loc,8
1219,tower,Eiffel,T,T-sub,T,T-sub,3
1220,tower,London,S,S-loc,T,T-sub,3
1221,tower,tall,E,E-prop,E,E-prop,10
1222,toy,car,T,T-sub,T,T-sub,2
1223,toy,game,S,S-time,T,T-coord,4
1224,tradition,Christmas,T,T-sub,T,T-sub,6
1225,tradition,culture,E,E-whole,E,E-whole,4
1226,tradition,family,S,S-agent,S,S-agent,10
1227,tradition,old,E,E-prop,E,E-prop,5
1228,tragedy,comedy,T,T-ant,T,T-ant,5
1229,tragedy,death,T,T-sub,S,S-time,8
1230,tragedy,Shakespeare,I,I-contin,S,S-agent,7
1231,trap,bear,S,S-agent,T,T-sub,4
1232,trap,catch,T,T-super,S,S-action,5
1233,trap,mouse,T,T-sub,T,T-sub,8
1234,tree,branch,E,E-comp,E,E-comp,7
1235,tree,bush,T,T-coord,T,T-coord,2
1236,tree,green,E,E-prop,E,E-state,9
1237,tree,oak,T,T-sub,T,T-sub,3
1238,tribe,Africa,S,S-loc,S,S-loc,2
1239,tribe,group,T,T-super,T,T-super,12
1240,tribe,Indian,T,T-sub,T,T-sub,8
1241,tribe,Indians,T,T-sub,T,T-sub,3
1242,tribe,Native American,T,T-sub,T,T-sub,3
1243,truth,honest,I,I-contin,E,E-prop,5
1244,truth,lie,T,T-ant,T,T-ant,10
1245,truth,lies,T,T-ant,T,T-ant,5
1246,tunnel,dark,E,E-prop,E,E-prop,7
1247,tunnel,hole,E,E-comp,E,E-comp,6
1248,tunnel,train,S,S-obj,S,S-obj,7
1249,uncle,aunt,T,T-ant,T,T-ant,17
1250,uncle,family,T,T-super,E,E-whole,5
1251,university,college,T,T-coord,T,T-coord,16
1252,university,education,S,S-function,S,S-function,9
1253,university,learning,S,S-function,S,S-function,5
1254,university,school,T,T-super,T,T-super,10
1255,valley,green,E,E-prop,E,E-prop,10
1256,valley,hill,E,E-comp,E,E-comp,7
1257,valley,hills,E,E-comp,E,E-comp,4
1258,valley,mountain,E,E-comp,E,E-comp,5
1259,value,cost,T,T-syn,E,E-prop,6
1260,value,money,E,E-whole,E,E-whole,11
1261,value,price,T,T-syn,E,E-prop,6
1262,victim,blood,S,S-obj,S,S-obj,1
1263,victim,crime,S,S-time,S,S-time,14
1264,victim,hurt,S,S-targetstate,S,S-targetstate,6
1265,victim,murder,S,S-action,S,S-action,6
1266,victim,rape,S,S-action,S,S-action,5
1267,video,film,T,T-sub,T,T-sub,5
1268,video,movie,T,T-sub,T,T-sub,11
1269,village,hamlet,T,T-syn,T,T-syn,2
1270,village,people,E,E-comp,E,E-comp,6
1271,village,small,E,E-state,E,E-prop,7
1272,village,town,T,T-coord,T,T-coord,20
1273,vinegar,salt,T,T-coord,T,T-coord,5
1274,vinegar,wine,T,T-coord,I,I-contin,6
1275,violence,anger,I,I-emo,I,I-emo,4
1276,violence,blood,S,S-obj,S,S-obj,6
1277,violence,crime,S,S-obj,S,S-action,4
1278,violence,death,S,S-context,S,S-context,3
1279,violin,cello,T,T-coord,T,T-coord,3
1280,violin,music,S,S-function,S,S-function,12
1281,violin,strings,E,E-comp,E,E-comp,6
1282,violin,viola,T,T-coord,T,T-coord,6
1283,visa,Mastercard,T,T-coord,T,T-coord,5
1284,visa,passport,S,S-obj,S,S-obj,14
1285,visa,travel,S,S-action,S,S-action,15
1286,vocabulary,dictionary,S,S-obj,S,S-obj,8
1287,vocabulary,language,E,E-whole,E,E-whole,6
1288,vocabulary,large,S,S-targetstate,E,E-prop,3
1289,vocabulary,word,E,E-comp,E,E-comp,3
1290,vocabulary,words,E,E-comp,E,E-comp,21
1291,volcano,eruption,E,E-beh,S,S-action,8
1292,volcano,fire,E,E-comp,E,E-comp,5
1293,volcano,lava,E,E-comp,E,E-comp,21
1294,volleyball,ball,T,T-super,T,T-super,5
1295,volleyball,beach,S,S-loc,S,S-loc,9
1296,volleyball,game,S,S-time,S,S-time,7
1297,volleyball,net,S,S-obj,S,S-obj,15
1298,water,drink,T,T-super,S,S-action,9
1299,water,liquid,T,T-super,E,E-state,6
1300,water,wet,E,E-prop,E,E-prop,6
1301,watermelon,juicy,E,E-prop,E,E-prop,6
1302,watermelon,seed,E,E-comp,E,E-comp,4
1303,wealth,greed,S,S-context,I,I-eval,1
1304,weather,climate,E,E-whole,E,E-whole,3
1305,weather,cold,E,E-state,E,E-state,5
1306,weather,rain,T,T-sub,T,T-sub,16
1307,weather,sunny,T,T-sub,T,T-sub,4
1308,wedding,bells,S,S-obj,S,S-obj,5
1309,wedding,day,S,S-time,S,S-time,4
1310,wedding,white,S,S-context,S,S-context,8
1311,weight,fat,I,I-contin,I,I-contin,10
1312,weight,heavy,E,E-state,E,E-state,10
1313,weight,height,T,T-coord,T,T-coord,5
1314,weight,mass,T,T-syn,T,T-coord,7
1315,whale,blue,T,T-sub,T,T-sub,8
1316,whale,fish,T,T-super,S,S-agent,5
1317,wheat,bread,E,E-whole,E,E-whole,19
1318,wheat,chaff,E,E-comp,E,E-comp,2
1319,wheat,flour,S,S-targetstate,E,E-state,3
1320,wheat,grain,T,T-super,T,T-super,6
1321,wheel,car,E,E-whole,E,E-whole,15
1322,wheel,circle,E,E-prop,E,E-prop,3
1323,wheel,tire,E,E-comp,E,E-comp,5
1324,width,breadth,T,T-coord,T,T-coord,8
1325,width,girth,T,T-coord,T,T-coord,4
1326,width,height,T,T-ant,T,T-ant,9
1327,width,length,T,T-ant,T,T-ant,13
1328,width,wide,E,E-state,E,E-state,12
1329,wife,husband,T,T-ant,T,T-ant,16
1330,wife,mother,T,T-coord,S,S-context,5
1331,wife,spouse,T,T-syn,T,T-super,11
1332,wife,woman,E,E-prop,E,E-prop,9
1333,wind,blow,E,E-beh,E,E-beh,10
1334,wind,breeze,T,T-syn,T,T-sub,6
1335,wolf,dog,T,T-coord,T,T-super,15
1336,woman,beauty,E,E-prop,I,I-contin,2
1337,woman,female,T,T-super,E,E-prop,13
1338,woman,girl,T,T-sub,T,T-ant,8
1339,woman,lady,T,T-sub,T,T-syn,6
1340,wool,cotton,T,T-coord,T,T-coord,2
1341,wool,itchy,E,E-prop,E,E-prop,3
1342,wool,lamb,E,E-whole,E,E-whole,2
1343,wool,sheep,E,E-whole,E,E-whole,25
1344,wool,sweater,E,E-whole,E,E-whole,5
1345,worker,ant,T,T-super,T,T-super,2
1346,worker,construction,T,T-sub,S,S-agent,3
1347,worker,employee,T,T-syn,T,T-syn,6
1348,wrinkle,age,I,I-contin,I,I-contin,6
1349,wrinkle,old,S,S-time,S,S-time,15
1350,wrinkle,skin,S,S-targetstate,S,S-targetstate,9
1351,wrist,arm,E,E-whole,E,E-whole,9
1352,wrist,hand,E,E-comp,E,E-comp,16
1353,wrist,joint,T,T-super,T,T-super,4
1354,wrist,watch,S,S-obj,S,S-obj,12
1355,year,age,E,E-prop,E,E-prop,7
1356,year,calendar,S,S-obj,S,S-obj,3
1357,year,month,E,E-comp,E,E-comp,7
1358,year,time,E,E-prop,E,E-prop,11
1359,yoga,mat,S,S-obj,S,S-obj,4
1360,yoga,pants,S,S-obj,S,S-obj,5
1361,yoga,relax,S,S-function,E,E-prop,3
1362,yoga,stretch,S,S-action,S,S-action,9
1363,yogurt,bacteria,E,E-comp,S,S-obj,4
1364,yogurt,dairy,T,T-super,T,T-super,9
1365,yogurt,Greek,T,T-sub,T,T-sub,8
1366,yogurt,milk,E,E-comp,E,E-comp,5
1367,zoo,animal,S,S-agent,S,S-agent,9
1368,zoo,animals,S,S-agent,S,S-agent,17
1369,zoo,keeper,S,S-agent,S,S-agent,2
1370,ability,skill,T,T-syn,T,T-syn,11
1371,achievement,accomplishment,T,T-syn,T,T-syn,5
1372,achievement,trophy,S,S-obj,S,S-obj,3
1373,activity,exercise,T,T-sub,T,T-sub,6
1374,activity,game,T,T-sub,T,T-sub,2
1375,activity,movement,T,T-sub,T,T-sub,4
1376,activity,play,T,T-sub,T,T-sub,7
1377,activity,sport,T,T-sub,T,T-sub,4
1378,adventure,fun,I,I-eval,I,I-eval,8
1379,adventure,map,S,S-obj,S,S-obj,1
1380,air,oxygen,E,E-comp,E,E-comp,9
1381,air,plane,S,S-obj,S,S-obj,5
1382,airport,airplane,S,S-obj,S,S-obj,3
1383,airport,fly,S,S-action,S,S-action,3
1384,alcohol,beer,T,T-sub,T,T-sub,10
1385,alcohol,booze,T,T-syn,T,T-syn,8
1386,alcohol,wine,T,T-sub,T,T-sub,5
1387,ambulance,accident,S,S-time,S,S-time,4
1388,ambulance,emergency,S,S-time,S,S-time,13
1389,anchor,boat,E,E-whole,E,E-whole,12
1390,anchor,ship,E,E-whole,E,E-whole,17
1391,apartment,condo,T,T-syn,T,T-syn,3
1392,apartment,flat,T,T-syn,T,T-syn,7
1393,apple,core,E,E-comp,E,E-comp,3
1394,apple,fruit,T,T-super,T,T-super,11
1395,apple,orange,T,T-coord,T,T-coord,9
1396,apple,pear,T,T-coord,T,T-coord,6
1397,arrest,cops,S,S-agent,S,S-agent,2
1398,arrest,crime,S,S-time,S,S-time,6
1399,arrest,police,S,S-agent,S,S-agent,16
1400,arrow,point,E,E-comp,E,E-comp,5
1401,art,painting,T,T-sub,T,T-sub,10
1402,atom,small,E,E-prop,E,E-prop,8
1403,attack,war,S,S-time,S,S-time,6
1404,attitude,mood,T,T-coord,T,T-coord,1
1405,attitude,outlook,T,T-syn,T,T-syn,3
1406,audience,people,E,E-comp,E,E-comp,6
1407,author,book,S,S-obj,S,S-obj,22
1408,author,books,S,S-obj,S,S-obj,3
1409,autumn,fall,T,T-syn,T,T-syn,22
1410,autumn,leaves,S,S-obj,S,S-obj,24
1411,autumn,orange,S,S-context,S,S-context,4
1412,autumn,season,T,T-sub,T,T-sub,4
1413,autumn,spring,T,T-coord,T,T-coord,4
1414,balance,equal,E,E-prop,E,E-prop,4
1415,balance,even,E,E-prop,E,E-prop,4
1416,balance,scale,S,S-obj,S,S-obj,5
1417,balance,scales,S,S-obj,S,S-obj,3
1418,ball,base,S,S-obj,S,S-obj,5
1419,ball,round,E,E-prop,E,E-prop,8
1420,ballet,dancing,S,S-action,S,S-action,2
1421,ballet,tutu,S,S-obj,S,S-obj,5
1422,balloon,round,E,E-prop,E,E-prop,4
1423,bamboo,grass,T,T-coord,T,T-coord,3
1424,banana,apple,T,T-coord,T,T-coord,3
1425,banana,fruit,T,T-super,T,T-super,18
1426,banana,peel,E,E-comp,E,E-comp,5
1427,banana,yellow,E,E-prop,E,E-prop,21
1428,bandage,blood,S,S-obj,S,S-obj,6
1429,bandage,wound,S,S-obj,S,S-obj,13
1430,baseball,America,S,S-loc,S,S-loc,3
1431,baseball,game,T,T-super,T,T-super,5
1432,baseball,sport,T,T-super,T,T-super,6
1433,basement,cellar,T,T-syn,T,T-syn,9
1434,basket,container,T,T-super,T,T-super,4
1435,basket,weave,S,S-action,S,S-action,7
1436,basketball,baseball,T,T-coord,T,T-coord,3
1437,basketball,sport,T,T-super,T,T-super,5
1438,basketball,sports,T,T-super,T,T-super,3
1439,bat,animal,T,T-super,T,T-super,4
1440,bat,black,E,E-prop,E,E-prop,4
1441,bat,wings,E,E-comp,E,E-comp,3
1442,beach,sun,S,S-obj,S,S-obj,11
1443,bear,animal,T,T-super,T,T-super,6
1444,bear,grizzly,T,T-sub,T,T-sub,7
1445,beast,animal,T,T-syn,T,T-syn,14
1446,bed,cot,T,T-sub,T,T-sub,2
1447,bed,sleep,S,S-action,S,S-action,25
1448,bee,buzz,E,E-beh,E,E-beh,5
1449,bee,insect,T,T-super,T,T-super,4
1450,beef,chicken,T,T-coord,T,T-coord,1
1451,beef,dinner,S,S-time,S,S-time,3
1452,beef,meat,T,T-super,T,T-super,13
1453,beer,wine,T,T-coord,T,T-coord,4
1454,bikini,small,E,E-prop,E,E-prop,2
1455,bikini,summer,S,S-time,S,S-time,4
1456,bird,flight,E,E-beh,E,E-beh,5
1457,bird,fly,E,E-beh,E,E-beh,16
1458,bird,free,I,I-contin,I,I-contin,1
1459,bird,robin,T,T-sub,T,T-sub,3
1460,bird,wings,E,E-comp,E,E-comp,7
1461,blackboard,chalk,S,S-obj,S,S-obj,27
1462,blackboard,chalkboard,T,T-syn,T,T-syn,2
1463,blackboard,school,S,S-loc,S,S-loc,16
1464,blackboard,teacher,S,S-agent,S,S-agent,9
1465,blackboard,whiteboard,T,T-ant,T,T-ant,5
1466,body,corpus,T,T-syn,T,T-syn,3
1467,body,mind,T,T-ant,T,T-ant,4
1468,bomb,terrorist,S,S-agent,S,S-agent,2
1469,bone,marrow,E,E-comp,E,E-comp,7
1470,bone,skeleton,E,E-whole,E,E-whole,10
1471,bone,white,E,E-prop,E,E-prop,8
1472,box,container,T,T-super,T,T-super,8
1473,box,square,E,E-prop,E,E-prop,10
1474,boxing,fight,S,S-action,S,S-action,9
1475,boxing,fighting,S,S-action,S,S-action,4
1476,boxing,ring,S,S-loc,S,S-loc,13
1477,bra,boobs,S,S-obj,S,S-obj,6
1478,bra,breast,S,S-obj,S,S-obj,5
1479,bra,breasts,S,S-obj,S,S-obj,9
1480,bra,support,S,S-function,S,S-function,6
1481,brand,cattle,S,S-obj,S,S-obj,4
1482,brand,label,T,T-syn,T,T-syn,3
1483,bread,butter,S,S-obj,S,S-obj,9
1484,bread,eat,S,S-action,S,S-action,2
1485,bread,food,T,T-super,T,T-super,9
1486,breakfast,lunch,T,T-coord,T,T-coord,6
1487,breakfast,meal,T,T-super,T,T-super,4
1488,bride,wedding,S,S-time,S,S-time,15
1489,bridge,connect,S,S-function,S,S-function,2
1490,bridge,game,T,T-super,T,T-super,2
1491,bridge,river,S,S-obj,S,S-obj,7
1492,bridge,water,S,S-obj,S,S-obj,12
1493,businessman,businesswoman,T,T-ant,T,T-ant,4
1494,businessman,work,S,S-action,S,S-action,4
1495,butter,cream,T,T-coord,T,T-coord,4
1496,butter,yellow,E,E-prop,E,E-prop,7
1497,cake,birthday,S,S-time,S,S-time,8
1498,cake,dessert,T,T-super,T,T-super,4
1499,camel,animal,T,T-super,T,T-super,4
1500,camel,desert,S,S-loc,S,S-loc,20
1501,camel,hump,E,E-comp,E,E-comp,14
1502,cancer,chemotherapy,S,S-action,S,S-action,3
1503,cancer,death,I,I-contin,I,I-contin,10
1504,cancer,disease,T,T-super,T,T-super,8
1505,candle,wax,E,E-comp,E,E-comp,15
1506,candle,wick,E,E-comp,E,E-comp,4
1507,capitalism,greed,I,I-eval,I,I-eval,7
1508,capitalism,money,S,S-obj,S,S-obj,19
1509,car,auto,T,T-syn,T,T-syn,6
1510,car,automobile,T,T-syn,T,T-syn,4
1511,car,drive,S,S-action,S,S-action,7
1512,car,truck,T,T-coord,T,T-coord,4
1513,car,vehicle,T,T-super,T,T-super,5
1514,carrot,orange,E,E-prop,E,E-prop,22
1515,carrot,vegetable,T,T-super,T,T-super,11
1516,castle,moat,S,S-obj,S,S-obj,4
1517,cat,animal,T,T-super,T,T-super,2
1518,cat,feline,T,T-syn,T,T-syn,7
1519,cat,meow,E,E-beh,E,E-beh,6
1520,ceiling,fan,S,S-obj,S,S-obj,5
1521,ceiling,floor,T,T-ant,T,T-ant,6
1522,ceiling,roof,T,T-syn,T,T-syn,17
1523,cell,jail,E,E-whole,E,E-whole,10
1524,cell,prison,E,E-whole,E,E-whole,8
1525,champagne,drink,S,S-action,S,S-action,4
1526,champagne,wine,T,T-coord,T,T-coord,9
1527,champion,winner,T,T-syn,T,T-syn,16
1528,charity,donation,S,S-action,S,S-action,3
1529,charity,give,S,S-action,S,S-action,6
1530,charity,giving,S,S-action,S,S-action,6
1531,charity,good,I,I-eval,I,I-eval,4
1532,charity,money,S,S-obj,S,S-obj,10
1533,chemistry,science,T,T-super,T,T-super,15
1534,cherry,fruit,T,T-super,T,T-super,13
1535,cherry,red,E,E-prop,E,E-prop,17
1536,childhood,kids,S,S-agent,S,S-agent,2
1537,chimney,roof,S,S-loc,S,S-loc,2
1538,chin,face,E,E-whole,E,E-whole,15
1539,chin,mouth,T,T-coord,T,T-coord,5
1540,chocolate,candy,T,T-coord,T,T-coord,5
1541,chocolate,sweet,E,E-prop,E,E-prop,9
1542,cigar,tobacco,E,E-comp,E,E-comp,4
1543,cigarette,butt,E,E-comp,E,E-comp,4
1544,cigarette,cancer,I,I-contin,I,I-contin,10
1545,cigarette,cigar,T,T-coord,T,T-coord,3
1546,cigarette,fag,T,T-syn,T,T-syn,2
1547,cinema,popcorn,S,S-obj,S,S-obj,9
1548,city,London,T,T-sub,T,T-sub,3
1549,city,New York,T,T-sub,T,T-sub,3
1550,city,town,T,T-coord,T,T-coord,14
1551,cliff,rock,E,E-comp,E,E-comp,6
1552,cloud,blue,S,S-context,S,S-context,3
1553,clown,circus,S,S-loc,S,S-loc,8
1554,clown,scary,I,I-eval,I,I-eval,9
1555,coconut,brown,E,E-prop,E,E-prop,4
1556,coffin,casket,T,T-syn,T,T-syn,3
1557,coffin,dead,S,S-context,S,S-context,12
1558,coffin,grave,S,S-loc,S,S-loc,6
1559,colony,Africa,T,T-sub,T,T-sub,2
1560,colony,America,T,T-sub,T,T-sub,3
1561,colony,ant,S,S-agent,S,S-agent,5
1562,colony,ants,S,S-agent,S,S-agent,9
1563,comedy,laugh,S,S-action,S,S-action,10
1564,comedy,laughter,S,S-action,S,S-action,6
1565,company,business,T,T-syn,T,T-syn,10
1566,company,corporation,T,T-syn,T,T-syn,6
1567,competitor,opponent,T,T-syn,T,T-syn,2
1568,competitor,rival,T,T-syn,T,T-syn,5
1569,computer,internet,S,S-obj,S,S-obj,8
1570,computer,laptop,T,T-sub,T,T-sub,5
1571,computer,Mac,T,T-sub,T,T-sub,3
1572,concert,hall,S,S-loc,S,S-loc,5
1573,concert,play,S,S-action,S,S-action,2
1574,conclusion,end,T,T-syn,T,T-syn,20
1575,conclusion,ending,T,T-syn,T,T-syn,7
1576,conclusion,finish,T,T-syn,T,T-syn,8
1577,conclusion,summary,T,T-syn,T,T-syn,7
1578,corn,food,T,T-super,T,T-super,3
1579,corn,yellow,E,E-prop,E,E-prop,9
1580,corner,store,S,S-loc,S,S-loc,5
1581,corridor,doors,S,S-obj,S,S-obj,3
1582,cotton,field,S,S-loc,S,S-loc,5
1583,country,America,T,T-sub,T,T-sub,3
1584,country,land,T,T-syn,T,T-syn,4
1585,country,nation,T,T-syn,T,T-syn,6
1586,country,USA,T,T-sub,T,T-sub,4
1587,crab,crustacean,T,T-super,T,T-super,4
1588,crab,sea,S,S-loc,S,S-loc,6
1589,cream,milk,E,E-whole,E,E-whole,10
1590,cream,white,E,E-prop,E,E-prop,7
1591,credit,bank,S,S-obj,S,S-obj,4
1592,credit,money,S,S-obj,S,S-obj,8
1593,crime,bad,I,I-eval,I,I-eval,4
1594,crime,illegal,E,E-prop,E,E-prop,3
1595,crocodile,aligator,T,T-coord,T,T-coord,3
1596,crocodile,alligator,T,T-coord,T,T-coord,15
1597,crocodile,animal,T,T-super,T,T-super,3
1598,crocodile,reptile,T,T-super,T,T-super,5
1599,cucumber,green,E,E-prop,E,E-prop,17
1600,cucumber,vegetable,T,T-super,T,T-super,10
1601,cup,drink,S,S-action,S,S-action,5
1602,cup,mug,T,T-coord,T,T-coord,7
1603,curtain,drape,T,T-syn,T,T-syn,4
1604,curtain,drapes,T,T-syn,T,T-syn,3
1605,curtain,theater,S,S-loc,S,S-loc,3
1606,date,calendar,S,S-obj,S,S-obj,10
1607,daughter,girl,E,E-prop,E,E-prop,9
1608,deer,animal,T,T-super,T,T-super,6
1609,deer,antelope,T,T-coord,T,T-coord,2
1610,dentist,office,S,S-loc,S,S-loc,2
1611,dentist,teeth,S,S-obj,S,S-obj,22
1612,dentist,tooth,S,S-obj,S,S-obj,6
1613,depth,water,S,S-obj,S,S-obj,8
1614,diamond,gem,T,T-super,T,T-super,2
1615,diamond,hard,E,E-prop,E,E-prop,6
1616,diamond,shiny,E,E-prop,E,E-prop,2
1617,dictionary,thesaurus,T,T-coord,T,T-coord,3
1618,dictionary,word,E,E-comp,E,E-comp,4
1619,dictionary,words,E,E-comp,E,E-comp,23
1620,dinner,food,S,S-obj,S,S-obj,15
1621,dinner,meal,T,T-super,T,T-super,4
1622,dinosaur,ancient,E,E-prop,E,E-prop,3
1623,dinosaur,extinct,E,E-prop,E,E-prop,5
1624,dinosaur,reptile,T,T-super,T,T-super,5
1625,dinosaur,Tyrannosaurus Rex,T,T-sub,T,T-sub,4
1626,director,actor,S,S-agent,S,S-agent,4
1627,director,boss,T,T-super,T,T-super,5
1628,director,film,S,S-obj,S,S-obj,5
1629,director,leader,T,T-super,T,T-super,5
1630,director,movie,S,S-obj,S,S-obj,12
1631,dishwasher,appliance,T,T-super,T,T-super,3
1632,dishwasher,dishes,S,S-obj,S,S-obj,6
1633,dishwasher,water,S,S-obj,S,S-obj,5
1634,divorce,marriage,T,T-ant,T,T-ant,13
1635,divorce,unhappy,I,I-emo,I,I-emo,2
1636,doctor,lawyer,T,T-coord,T,T-coord,4
1637,doctor,physician,T,T-syn,T,T-syn,4
1638,dog,canine,T,T-super,T,T-super,4
1639,dog,puppy,T,T-sub,T,T-sub,3
1640,dolphin,mammal,T,T-super,T,T-super,9
1641,dolphin,ocean,S,S-loc,S,S-loc,8
1642,dolphin,porpoise,T,T-coord,T,T-coord,3
1643,dolphin,whale,T,T-coord,T,T-coord,4
1644,donkey,animal,T,T-super,T,T-super,5
1645,donkey,horse,T,T-coord,T,T-coord,10
1646,door,entry,T,T-super,T,T-super,3
1647,door,knob,E,E-comp,E,E-comp,5
1648,drum,beat,S,S-action,S,S-action,12
1649,ear,lobe,E,E-comp,E,E-comp,7
1650,ear,nose,T,T-coord,T,T-coord,3
1651,earring,jewelry,T,T-super,T,T-super,11
1652,earth,dirt,T,T-syn,T,T-syn,4
1653,earth,round,E,E-prop,E,E-prop,6
1654,earth,world,T,T-syn,T,T-syn,4
1655,earthquake,California,S,S-loc,S,S-loc,4
1656,earthquake,disaster,T,T-super,T,T-super,4
1657,earthquake,Japan,S,S-loc,S,S-loc,3
1658,education,school,S,S-loc,S,S-loc,17
1659,education,smart,I,I-contin,I,I-contin,4
1660,education,university,S,S-loc,S,S-loc,5
1661,efficiency,apartment,I,I-contin,I,I-contin,1
1662,election,politics,S,S-obj,S,S-obj,6
1663,election,president,S,S-agent,S,S-agent,11
1664,election,vote,S,S-action,S,S-action,15
1665,element,chemistry,E,E-whole,E,E-whole,8
1666,element,fire,T,T-sub,T,T-sub,8
1667,empire,British,T,T-sub,T,T-sub,3
1668,enemy,bad,I,I-eval,I,I-eval,2
1669,enemy,foe,T,T-syn,T,T-syn,9
1670,enemy,friend,T,T-ant,T,T-ant,14
1671,enemy,hate,I,I-emo,I,I-emo,4
1672,energy,drink,T,T-super,T,T-super,4
1673,energy,force,T,T-syn,T,T-syn,3
1674,energy,power,S,S-function,S,S-function,8
1675,entertainment,television,S,S-obj,S,S-obj,5
1676,entertainment,TV,S,S-obj,S,S-obj,4
1677,envelope,letter,S,S-obj,S,S-obj,19
1678,envelope,lick,S,S-action,S,S-action,6
1679,envelope,stamp,S,S-obj,S,S-obj,8
1680,evidence,proof,T,T-syn,T,T-syn,16
1681,evidence,trial,S,S-time,S,S-time,4
1682,exam,school,S,S-loc,S,S-loc,4
1683,exam,study,S,S-action,S,S-action,8
1684,eye,ball,E,E-comp,E,E-comp,8
1685,eye,iris,E,E-comp,E,E-comp,2
1686,eyebrow,hair,E,E-comp,E,E-comp,11
1687,eyebrow,pluck,S,S-action,S,S-action,6
1688,face,eyes,E,E-comp,E,E-comp,6
1689,face,head,E,E-whole,E,E-whole,4
1690,face,nose,E,E-comp,E,E-comp,7
1691,factory,made,S,S-action,S,S-action,1
1692,factory,work,S,S-action,S,S-action,4
1693,factory,worker,S,S-agent,S,S-agent,5
1694,factory,workers,S,S-agent,S,S-agent,4
1695,family,home,S,S-loc,S,S-loc,3
1696,family,love,I,I-emo,I,I-emo,8
1697,farm,animal,S,S-obj,S,S-obj,6
1698,farm,animals,S,S-obj,S,S-obj,4
1699,farm,land,S,S-loc,S,S-loc,4
1700,festival,fun,I,I-eval,I,I-eval,6
1701,fire,alarm,S,S-obj,S,S-obj,2
1702,fire,flame,E,E-comp,E,E-comp,7
