cue,category,feature,relation,association,nWords,frequency
funnel,Utensils,found in the kitchen,S-LOC,kitchen,1,10
garbage can,Containers,used for throwing garbage,S-FUNC,throw,1,24
garbage can,Containers,is useful,I-EVAL,useful,1,5
garbage can,Containers,made of plastic,E-MAT,plastic,1,5
giraffe,Animals,an animal,T-SUPER,animal,1,21
giraffe,Animals,an herbivore,T-SUPER,herbivore,1,5
giraffe,Animals,a mammal,T-SUPER,mammal,1,5
giraffe,Animals,is tall,E-QUANT,tall,1,12
giraffe,Animals,has spots,E-EXSURF,spots,1,9
giraffe,Animals,lives in the jungle,S-LOC,jungle,1,11
giraffe,Animals,lives in the zoo,S-LOC,zoo,1,8
glass,Utensils,a container,T-SUPER,container,1,8
glass,Utensils,used for drinking,S-FUNC,drinking,1,13
glass,Utensils,used for keeping fluids,S-FUNC,fluids,1,6
glass,Utensils,contains water,S-OBJECT,water,1,9
glass,Utensils,used for drinking wine,S-FUNC,wine,1,6
glass,Utensils,made of glass,E-MAT,glass,1,15
glass,Utensils,made of plastic,E-MAT,plastic,1,9
glasses,Accessories,eg - sunglasses,T-SUBORD,sunglasses,1,19
glasses,Accessories,used for reading,S-FUNC,reading,1,10
glasses,Accessories,used to see,S-FUNC,see,1,16
glasses,Accessories,eg - contact glasses,T-SUBORD,contact glasses,2,5
glasses,Accessories,has glass,E-EXCOMP,glass,1,5
glasses,Accessories,used for seeing far,S-FUNC,seeing,1,9
glasses,Accessories,used for seeing near,S-FUNC,seeing,1,6
globe,Objects,Earth,S-OBJECT,Earth,1,NA
globe,Objects,geography,S-SOCART,geography,1,6
globe,Objects,is round,E-EXSURF,round,1,9
globe,Objects,used for looking at the sea,S-FUNC,looking,1,7
globe,Objects,world,I-REP,world,1,10
globe,Objects,different colors,E-EXSURF,colors,1,7
globe,Objects,used for showing the countries,S-FUNC,countries,1,10
glove,Clothing,used for keeping warm,S-FUNC,warm,1,8
glove,Clothing,made of rubber,E-MAT,rubber,1,6
glove,Clothing,made of wool,E-MAT,wool,1,9
glove,Clothing,used for covering the hands,S-FUNC,covering,1,7
glove,Clothing,used for covering of the cold,S-FUNC,cold,1,11
goat,Animals,an animal,T-SUPER,animal,1,17
goat,Animals,cheese,S-OBJECT,cheese,1,11
goat,Animals,is eaten,S-ACTION,eaten,1,5
goat,Animals,a mammal,T-SUPER,mammal,1,5
goat,Animals,gives milk,E-BEH,milk,1,24
goat,Animals,has hair,E-EXCOMP,hair,1,6
goat,Animals,has horns,E-EXCOMP,horns,1,8
goat,Animals,has legs,E-EXCOMP,legs,1,6
goat,Animals,has wool,E-EXCOMP,wool,1,5
goat,Animals,lives in the countryside,S-LOC,countryside,1,7
goat,Animals,lives in the hill,S-LOC,hill,1,5
goggles,Accessories,is colorful,E-EXSURF,colorful,1,5
goggles,Accessories,used for protecting,S-FUNC,protecting,1,25
goggles,Accessories,used for swimming,S-FUNC,swimming,1,10
goggles,Accessories,used for welding,S-FUNC,welding,1,7
goggles,Accessories,water,E-INCOMP,water,1,8
goggles,Accessories,made of plastic,E-MAT,plastic,1,7
goggles,Accessories,made of rubber,E-MAT,rubber,1,5
gorilla,Animals,an animal,T-SUPER,animal,1,12
gorilla,Animals,is big,E-QUANT,big,1,16
gorilla,Animals,is dangerous,I-EVAL,dangerous,1,8
gorilla,Animals,eats banana,E-BEH,eats,1,5
gorilla,Animals,has hair,E-EXCOMP,hair,1,10
gorilla,Animals,like a monkey,T-COORD,monkey,1,12
gorilla,Animals,lives in the jungle,S-LOC,jungle,1,14
grapes,Fruits,eg - black,T-SUBORD,black,1,6
grapes,Fruits,is eaten,S-ACTION,eaten,1,6
grapes,Fruits,a fruit,T-SUPER,fruit,1,15
grapes,Fruits,eg - green,T-SUBORD,green,1,8
grapes,Fruits,is sweet,E-INSURF,sweet,1,7
grapes,Fruits,used for making wine,S-ACTION,wine,1,21
grapes,Fruits,vineyard,E-WHOLE,vineyard,1,5
grapes,Fruits,eg - white,T-SUBORD,white,1,5
grapes,Fruits,tastes good,I-EVAL,good,1,8
grasshopper,Animals,an animal,T-SUPER,animal,1,5
grasshopper,Animals,is green,E-EXSURF,green,1,9
grasshopper,Animals,an insect,T-SUPER,insect,1,11
grasshopper,Animals,jumps,E-BEH,jumps,1,5
grasshopper,Animals,is a plague,T-SUPER,plague,1,14
grasshopper,Animals,is ugly,I-EVAL,ugly,1,5
grasshopper,Animals,causes harm,I-EVAL,harm,1,6
grasshopper,Animals,eats havest,S-ACTION,eats,1,16
grill,Constructions,barbecue,S-EVENT,barbecue,1,21
grill,Constructions,family,S-SOCORG,family,1,6
grill,Constructions,food,S-OBJECT,food,1,6
grill,Constructions,meat,S-OBJECT,meat,1,5
grill,Constructions,meeting,S-EVENT,meeting,1,5
grill,Constructions,sausages,S-OBJECT,sausages,1,8
grill,Constructions,used for cooking,S-FUNC,cooking,1,6
grill,Constructions,made of iron,E-MAT,iron,1,7
guitar,Musical instruments,is nice,I-EVAL,nice,1,6
guitar,Musical instruments,used for making music,S-FUNC,music,1,16
guitar,Musical instruments,eg - electric stove,T-SUBORD,electric stove,2,5
guitar,Musical instruments,has strings,E-EXCOMP,strings,1,20
guitar,Musical instruments,a musical instrument,T-SUPER,musical instrument,2,13
guitar,Musical instruments,made of wood,E-MAT,wood,1,9
gun,Weapons,caliber,T-SUBORD,caliber,1,5
gun,Weapons,is dangerous,I-EVAL,dangerous,1,10
gun,Weapons,fear,I-EVAL,fear,1,8
gun,Weapons,used for killing,S-FUNC,killing,1,13
gun,Weapons,used for stealing,S-FUNC,stealing,1,6
gun,Weapons,a weapon,T-SUPER,weapon,1,18
gun,Weapons,has bullets,E-INCOMP,bullets,1,15
gun,Weapons,made of fire,T-SUPER,fire,1,6
gun,Weapons,serves for defense,S-FUNC,defense,1,7
hair,Body parts,is blond,E-EXSURF,blond,1,6
hair,Body parts,is brown,E-EXSURF,brown,1,5
hair,Body parts,is brunet,E-EXSURF,brunet,1,5
hair,Body parts,is curly,E-EXSURF,curly,1,8
hair,Body parts,hair,T-SYN,hair,1,5
hair,Body parts,is long,E-QUANT,long,1,16
hair,Body parts,is soft,E-EXSURF,soft,1,5
hair,Body parts,is straight,E-EXSURF,straight,1,10
hair,Body parts,different colors,E-EXSURF,colors,1,7
hair,Body parts,eg_-_ is short,E-QUANT,short,1,12
hamburger,Food,a food,T-SUPER,food,1,15
hamburger,Food,tomatoe,S-LIVING,tomatoe,1,5
hamburger,Food,a fast food,S-OBJECT,fast food,2,7
hamburger,Food,tastes good,I-EVAL,good,1,11
hamburger,Food,made of chicken,T-SUPER,chicken,1,7
hamburger,Food,made of meat,T-SUPER,meat,1,16
hammer,Tools,carpenter,S-PERSON,carpenter,1,8
hammer,Tools,is heavy,E-SYS,heavy,1,9
hammer,Tools,nails,S-OBJECT,nails,1,17
hammer,Tools,is noisy,E-SYS,noisy,1,5
hammer,Tools,a tool,T-SUPER,tool,1,14
hammer,Tools,used for hitting,S-FUNC,hitting,1,13
hammer,Tools,used for nailing,S-FUNC,nailing,1,9
hammer,Tools,has grip,E-EXCOMP,grip,1,7
hammer,Tools,made of metal,E-MAT,metal,1,5
hammer,Tools,made of wood,E-MAT,wood,1,9
hammock,Objects,outdoors,E-MAT,outdoors,1,5
hammock,Objects,is relaxing,I-EVAL,relaxing,1,16
hammock,Objects,used for resting,S-FUNC,resting,1,14
hammock,Objects,used for rocking,S-FUNC,rocking,1,7
hammock,Objects,used for sleeping,S-FUNC,sleeping,1,7
hammock,Objects,made of fabric,E-MAT,fabric,1,6
hammock,Objects,found in the park,S-LOC,park,1,6
hammock,Objects,is tied to 2 trees,S-ACTION,trees,1,8
hand,Body parts,is big,E-QUANT,big,1,7
hand,Body parts,is small,E-QUANT,small,1,6
hand,Body parts,is strong,E-SYS,strong,1,6
hand,Body parts,used for caressing,S-FUNC,caressing,1,6
hand,Body parts,used for writing,S-FUNC,writing,1,5
hand,Body parts,is white,E-EXSURF,white,1,6
hand,Body parts,has fingers,E-EXCOMP,fingers,1,11
hand,Body parts,has nails,E-EXCOMP,nails,1,8
handbag,Accessories,an accesory,T-SUPER,accessory,1,12
handbag,Accessories,used for storing things,S-FUNC,storing,1,5
handbag,Accessories,is useful,I-EVAL,useful,1,6
handbag,Accessories,used by women,S-PERSON,women,1,14
handbag,Accessories,made of leather,E-MAT,leather,1,17
hanger,Accessories,clothes,S-OBJECT,clothes,1,8
hanger,Accessories,used for hanging,S-FUNC,hanging,1,25
hanger,Accessories,is inside wardrobes,S-LOC,wardrobes,1,8
hanger,Accessories,made of metal,E-MAT,metal,1,6
hanger,Accessories,made of plastic,E-MAT,plastic,1,12
hanger,Accessories,made of wood,E-MAT,wood,1,19
harmonica,Musical instruments,music,S-FUNC,music,1,13
harmonica,Musical instruments,sound,S-FUNC,sound,1,5
harmonica,Musical instruments,a musical instrument,T-SUPER,musical instrument,2,20
harmonica,Musical instruments,made of metal,E-MAT,metal,1,7
harmonica,Musical instruments,a wind musical intrument,T-SUPER,wind musical intrument,3,12
harp,Musical instruments,nice,I-EVAL,nice,1,10
harp,Musical instruments,sound,S-FUNC,sound,1,12
harp,Musical instruments,used for making music,S-FUNC,music,1,14
harp,Musical instruments,has strings,E-EXCOMP,strings,1,14
harp,Musical instruments,a musical instrument,T-SUPER,musical instrument,2,19
harp,Musical instruments,traditional of Paraguay,S-LOC,Paraguay,1,NA
hat,Clothing,clothing,T-SUPER,clothing,1,6
hat,Clothing,is elegant,I-EVAL,elegant,1,7
hat,Clothing,used for protecting,S-FUNC,protecting,1,12
hat,Clothing,different shapes,E-EXSURF,shapes,1,6
hazelnut,Fruits,is brown,E-EXSURF,brown,1,5
hazelnut,Fruits,Christmas,S-EVENT,Christmas,1,NA
hazelnut,Fruits,is eaten,S-ACTION,eaten,1,6
hazelnut,Fruits,a foodstuff,T-SUPER,foodstuff,1,5
hazelnut,Fruits,a dried fruit,T-SUPER,dried fruit,2,7
hazelnut,Fruits,tastes good,I-EVAL,good,1,12
hazelnut,Fruits,it is a fruit,T-SUPER,fruit,1,18
headphones,Accessories,used for listening,S-FUNC,listening,1,25
headphones,Accessories,used for listening to music,S-FUNC,listening,1,22
headphones,Accessories,used for listening to the radio,S-FUNC,listening,1,5
headphones,Accessories,used on the ears,S-LOC,ears,1,10
heart,Body parts,beats,E-BEH,beats,1,14
heart,Body parts,an organ,T-SUPER,organ,1,8
heart,Body parts,is red,E-EXSURF,red,1,8
heart,Body parts,stroke,S-SOCART,stroke,1,5
heart,Body parts,represents love,S-SOCART,love,1,13
heart,Body parts,is essential to live,E-SYS,essential,1,12
helicopter,Vehicles,used for flying,S-FUNC,flying,1,15
helicopter,Vehicles,used for rescuing,S-FUNC,rescuing,1,5
helicopter,Vehicles,has airscrews,E-EXCOMP,airscrews,1,16
helicopter,Vehicles,a mean of transportation,T-SUPER,transportation,1,11
helmet,Accessories,bicycle,S-OBJECT,bicycle,1,8
helmet,Accessories,motorbike,S-OBJECT,motorbike,1,20
helmet,Accessories,used by the soldier,S-PERSON,soldier,1,8
helmet,Accessories,used for protecting,S-FUNC,protecting,1,16
helmet,Accessories,made of plastic,E-MAT,plastic,1,5
hippopotamus,Animals,an animal,T-SUPER,animal,1,17
hippopotamus,Animals,is aquatic,E-SYS,aquatic,1,8
hippopotamus,Animals,is big,E-QUANT,big,1,17
hippopotamus,Animals,is dangerous,I-EVAL,dangerous,1,7
hippopotamus,Animals,is heavy,E-SYS,heavy,1,5
hippopotamus,Animals,a mammal,T-SUPER,mammal,1,5
hippopotamus,Animals,lives in Africa,S-LOC,Africa,1,NA
hippopotamus,Animals,lives in the water,S-LOC,water,1,7
hoe,Tools,earth,S-OBJECT,earth,1,16
hoe,Tools,garden,S-LOC,garden,1,9
hoe,Tools,grass,S-LIVING,grass,1,7
hoe,Tools,a tool,T-SUPER,tool,1,7
hoe,Tools,used for cutting,S-FUNC,cutting,1,5
hoe,Tools,work,E-SYS,work,1,10
hoe,Tools,found in the field,S-LOC,field,1,8
hoe,Tools,found in the country house,S-LOC,country house,2,5
horse,Animals,an animal,T-SUPER,animal,1,11
horse,Animals,neighs,E-BEH,neighs,1,7
horse,Animals,race,S-FUNC,race,1,5
horse,Animals,is ridden,S-ACTION,ridden,1,6
horse,Animals,runs,E-BEH,runs,1,5
horse,Animals,is strong,E-SYS,strong,1,6
horse,Animals,has legs,E-EXCOMP,legs,1,10
horse,Animals,horseback ride,S-EVENT,horseback ride,2,7
horse,Animals,used for rural tasks,S-ACTION,rural tasks,2,6
horse,Animals,lives in the countryside,S-LOC,countryside,1,5
horseshoe,Objects,used for horses,S-FUNC,horses,1,25
horseshoe,Objects,used for protecting,S-FUNC,protecting,1,9
horseshoe,Objects,used with nails,S-ACTION,nails,1,5
horseshoe,Objects,gives good luck,I-EVAL,good luck,2,7
horseshoe,Objects,made of iron,E-MAT,iron,1,11
horseshoe,Objects,made of metal,E-MAT,metal,1,6
house,Constructions,is big,E-QUANT,big,1,9
house,Constructions,family,S-SOCORG,family,1,11
house,Constructions,home,T-SYN,home,1,15
house,Constructions,a refuge,T-ONT,refuge,1,5
house,Constructions,different materials,E-MAT,materials,1,5
house,Constructions,made of bricks,E-MAT,bricks,1,5
house,Constructions,place where people live,S-FUNC,place,1,6
hyena,Animals,an animal,T-SUPER,animal,1,19
hyena,Animals,is evil,I-EVAL,evil,1,8
hyena,Animals,laughs,E-BEH,laughs,1,12
hyena,Animals,is ugly,I-EVAL,ugly,1,8
hyena,Animals,is wild,E-SYS,wild,1,9
igloo,Constructions,cold,E-SYS,cold,1,18
igloo,Constructions,Eskimo,S-PERSON,Eskimo,1,NA
igloo,Constructions,a house,T-SUPER,house,1,12
igloo,Constructions,snow,S-OBJECT,snow,1,10
igloo,Constructions,made of ice,E-MAT,ice,1,20
iron,Devices,clothes,S-OBJECT,clothes,1,9
iron,Devices,a device,T-SUPER,device,1,8
iron,Devices,is electrical,E-SYS,electrical,1,11
iron,Devices,is hot,E-EXSURF,hot,1,10
iron,Devices,used for ironing,S-FUNC,ironing,1,6
iron,Devices,an electrical appliance,T-SUPER,electrical appliance,2,6
iron,Devices,is a steam iron,E-SYS,steam iron,2,9
iron,Devices,used for smoothing clothes,S-FUNC,smoothing clothes,2,5
iron,Devices,found in the house,S-LOC,house,1,7
ironing board,Utensils,clothes,S-OBJECT,clothes,1,11
ironing board,Utensils,iron,S-OBJECT,iron,1,7
ironing board,Utensils,used for ironing,S-FUNC,ironing,1,19
ironing board,Utensils,is useful,I-EVAL,useful,1,6
ironing board,Utensils,made of wood,E-MAT,wood,1,10
jaket,Clothing,used for keeping warm,S-FUNC,warm,1,10
jaket,Clothing,used for protecting yourself from rain,S-FUNC,protecting,1,6
jaket,Clothing,winter,S-TIME,winter,1,5
jaket,Clothing,is a warm clothing,T-SUPER,warm clothing,2,8
jaket,Clothing,has a zip,E-EXCOMP,zip,1,5
jaket,Clothing,made of fabric,E-MAT,fabric,1,5
jaket,Clothing,made of leather,E-MAT,leather,1,11
jaket,Clothing,made of wool,E-MAT,wool,1,5
jaket,Clothing,made of polar fleece,E-MAT,polar fleece,2,5
jar,Containers,sweet,S-OBJECT,sweet,1,10
jar,Containers,used for storing things,S-FUNC,storing,1,5
jar,Containers,used for containing things,S-FUNC,things,1,5
jar,Containers,made of glass,E-MAT,glass,1,16
jellyfish,Animals,an animal,T-SUPER,animal,1,5
jellyfish,Animals,bites,E-BEH,bites,1,10
jellyfish,Animals,lives in the sea,S-LOC,sea,1,23
kangaroo,Animals,an animal,T-SUPER,animal,1,18
kangaroo,Animals,is brown,E-EXSURF,brown,1,9
kangaroo,Animals,jumps,E-BEH,jumps,1,24
kangaroo,Animals,a marsupial,T-SUPER,marsupial,1,5
kangaroo,Animals,carries joey,E-BEH,joey,1,6
kangaroo,Animals,has a pouch,E-EXCOMP,pouch,1,7
kangaroo,Animals,lives in Australia,S-LOC,Australia,1,NA
kettle,Utensils,is aluminum,E-MAT,aluminum,1,5
kettle,Utensils,coffee,S-OBJECT,coffee,1,6
kettle,Utensils,is hot,E-EXSURF,hot,1,10
kettle,Utensils,mate,S-OBJECT,mate,1,27
kettle,Utensils,tea,S-OBJECT,tea,1,12
kettle,Utensils,used for boiling,S-FUNC,boiling,1,5
kettle,Utensils,water,E-INCOMP,water,1,16
kettle,Utensils,made of steel,E-MAT,steel,1,5
kettle,Utensils,found in the kitchen,S-LOC,kitchen,1,5
key,Objects,door,T-SYN,door,1,18
key,Objects,house,S-OBJECT,house,1,6
key,Objects,lock,S-OBJECT,lock,1,7
key,Objects,safety,S-SOCART,safety,1,8
key,Objects,used for opening,S-FUNC,opening,1,14
key,Objects,key chain,S-LOC,key chain,2,5
key,Objects,used for buttoning up,S-FUNC,buttoning up,2,7
key,Objects,made of bronze,E-MAT,bronze,1,7
key,Objects,made of metal,E-MAT,metal,1,9
kite,Toys,used by children,S-PERSON,children,1,10
kite,Toys,is colorful,E-EXSURF,colorful,1,14
kite,Toys,flies,E-BEH,flies,1,9
kite,Toys,is funny,E-SYS,funny,1,5
kite,Toys,sky,S-LOC,sky,1,6
kite,Toys,a toy,T-SUPER,toy,1,6
kite,Toys,used with wind,I-CONTIN,wind,1,10
kite,Toys,has a tail,E-EXCOMP,tail,1,8
kite,Toys,has a thread,E-EXCOMP,thread,1,14
kite,Toys,made of cane,E-MAT,cane,1,7
kite,Toys,made of paper,E-MAT,paper,1,11
knife,Utensils,an element,T-ONT,element,1,7
knife,Utensils,is sharp,E-EXSURF,sharp,1,15
knife,Utensils,used for cutting,S-FUNC,cutting,1,19
knife,Utensils,used for eating,S-FUNC,eating,1,9
knife,Utensils,a utensil,T-SUPER,utensil,1,5
knife,Utensils,a weapon,T-SUPER,weapon,1,6
knife,Utensils,made of metal,E-MAT,metal,1,9
knife,Utensils,found in the kitchen,S-LOC,kitchen,1,13
koala,Animals,an animal,T-SUPER,animal,1,18
koala,Animals,a bear,T-SUPER,bear,1,5
koala,Animals,is cute,I-EVAL,cute,1,5
koala,Animals,is furry,E-EXSURF,furry,1,5
koala,Animals,is nice,I-EVAL,nice,1,6
koala,Animals,is small,E-QUANT,small,1,10
koala,Animals,is tender,E-SYS,tender,1,5
koala,Animals,climbs trees,E-BEH,climbs,1,9
koala,Animals,is in extinction,E-SYS,extinction,1,6
koala,Animals,lives in the jungle,S-LOC,jungle,1,6
ladder,House parts,height,S-LOC,height,1,8
ladder,House parts,a tool,T-SUPER,tool,1,7
ladder,House parts,used for climbing,S-FUNC,climbing,1,17
ladder,House parts,used for working,S-FUNC,working,1,6
ladder,House parts,is useful,I-EVAL,useful,1,6
ladder,House parts,different materials,E-MAT,materials,1,5
ladder,House parts,has steps,E-EXCOMP,steps,1,12
ladder,House parts,used for going down,S-FUNC,going down,2,10
ladder,House parts,has a rail,E-EXCOMP,rail,1,5
ladder,House parts,made of metal,E-MAT,metal,1,6
ladder,House parts,made of wood,E-MAT,wood,1,13
ladle,Utensils,used for serving,S-FUNC,serving,1,16
ladle,Utensils,used for soup,S-FUNC,soup,1,14
ladle,Utensils,a utensil,T-SUPER,utensil,1,8
ladle,Utensils,made of metal,E-MAT,metal,1,8
ladle,Utensils,made of plastic,E-MAT,plastic,1,7
ladle,Utensils,found in the kitchen,S-LOC,kitchen,1,13
ladybug,Animals,an animal,T-SUPER,animal,1,5
ladybug,Animals,a bug,T-SUPER,bug,1,6
ladybug,Animals,is colorful,E-EXSURF,colorful,1,12
ladybug,Animals,flies,E-BEH,flies,1,11
ladybug,Animals,an insect,T-SUPER,insect,1,17
ladybug,Animals,is small,E-QUANT,small,1,10
ladybug,Animals,gives good luck,I-EVAL,good luck,2,12
lamb,Animals,an animal,T-SUPER,animal,1,17
lamb,Animals,is eaten,S-ACTION,eaten,1,15
lamb,Animals,a baby sheep,T-SYN,baby sheep,2,5
lamb,Animals,gives wool,S-FUNC,wool,1,5
lamb,Animals,has wool,E-EXCOMP,wool,1,6
lamb,Animals,tastes good,I-EVAL,good,1,10
lamb,Animals,eaten as meat,S-FUNC,meat,1,6
lamb,Animals,lives in the countryside,S-LOC,countryside,1,5
lamp,Furniture,night,E-BEH,night,1,7
lamp,Furniture,is small,E-EXSURF,small,1,5
lamp,Furniture,used for reading,S-FUNC,reading,1,5
lamp,Furniture,used for lighting up,S-FUNC,lighting up,2,25
lamp,Furniture,has a lightbulb,E-INCOMP,lightbulb,1,8
lamp,Furniture,found in the bedroom,S-LOC,bedroom,1,12
lamp,Furniture,is on the night table,S-LOC,night table,2,17
lantern,Furniture,an ornament,T-SUPER,ornament,1,5
lantern,Furniture,eg - electric stove,T-SUBORD,electric stove,2,11
lantern,Furniture,eg - kerosene lantern,T-SUBORD,kerosene lantern,2,6
lantern,Furniture,used for lighting up,S-FUNC,lighting up,2,25
lawnmower,Tools,is electrical,E-SYS,electrical,1,7
lawnmower,Tools,used by the gardener,S-PERSON,gardener,1,5
lawnmower,Tools,grass,S-LIVING,grass,1,13
lawnmower,Tools,a machine,T-SUPER,machine,1,10
lawnmower,Tools,is manual,E-EXSURF,manual,1,5
lawnmower,Tools,has a blade,E-EXCOMP,blade,1,8
lawnmower,Tools,used for mowing the lawn,S-FUNC,mowing,1,10
lawnmower,Tools,found in the garden,S-LOC,garden,1,17
leaf,Plants,is big,E-QUANT,big,1,5
leaf,Plants,is green,E-EXSURF,green,1,18
leaf,Plants,is small,E-QUANT,small,1,5
leaf,Plants,gives shade,E-BEH,shade,1,7
leaf,Plants,found in plants,S-LOC,plants,1,10
leaf,Plants,found in the tree,S-LOC,tree,1,14
leg,Body parts,a part of the body,E-WHOLE,body,1,7
leg,Body parts,is long,E-QUANT,long,1,10
leg,Body parts,used for walking,S-FUNC,walking,1,6
lemon,Fruits,is acid,E-EXSURF,acid,1,20
lemon,Fruits,a citrus,T-SUPER,citrus,1,5
lemon,Fruits,a fruit,T-SUPER,fruit,1,15
lemon,Fruits,used for flavouring,S-FUNC,flavouring,1,8
lemon,Fruits,used for tea,S-ACTION,tea,1,6
lemon,Fruits,cooking,S-FUNC,cooking,1,NA
lemon,Fruits,is yellow,E-EXSURF,yellow,1,17
lemon,Fruits,has juice,E-INCOMP,juice,1,6
lemon,Fruits,grows on trees,S-LOC,trees,1,10
lemon,Fruits,grows on the lemon tree,S-LOC,lemon tree,2,5
leopard,Animals,an animal,T-SUPER,animal,1,19
leopard,Animals,is carnivorous,E-SYS,carnivorous,1,5
leopard,Animals,a feline,T-SUPER,feline,1,10
leopard,Animals,is ferocious,E-SYS,ferocious,1,6
leopard,Animals,a mammal,T-SUPER,mammal,1,5
leopard,Animals,is wild,E-SYS,wild,1,7
leopard,Animals,lives in the jungle,S-LOC,jungle,1,7
lettuce,Vegetables,is eaten,S-ACTION,eaten,1,5
lettuce,Vegetables,a foodstuff,T-SUPER,foodstuff,1,5
lettuce,Vegetables,is green,E-EXSURF,green,1,15
lettuce,Vegetables,is healthy,E-SYS,healthy,1,6
lettuce,Vegetables,a plant,T-SUPER,plant,1,9
lettuce,Vegetables,is purple,E-EXSURF,purple,1,5
lettuce,Vegetables,is refreshing,I-EVAL,refreshing,1,8
lettuce,Vegetables,used for making salad,S-ACTION,salad,1,17
lettuce,Vegetables,a vegetable,T-SUPER,vegetable,1,9
lettuce,Vegetables,eg - butter lettuce,T-SUBORD,butter lettuce,2,6
lettuce,Vegetables,tastes good,I-EVAL,good,1,7
light bub,House parts,gives light,E-EXSURF,light,1,20
light bub,House parts,used for lighting up,S-FUNC,lighting up,2,7
light bub,House parts,used for lighting up,S-FUNC,lighting up,2,5
light switch,House parts,electricity,S-FUNC,electricity,1,8
light switch,House parts,is useful,I-EVAL,useful,1,5
light switch,House parts,is white,E-EXSURF,white,1,5
light switch,House parts,wires,S-OBJECT,wires,1,5
light switch,House parts,used for turning the light off,S-FUNC,turn of,2,8
light switch,House parts,used for turning the light on,S-FUNC,turn of,2,18
light switch,House parts,made of plastic,E-MAT,plastic,1,8
light switch,House parts,found in the houses,S-LOC,houses,1,5
lion,Animals,an animal,T-SUPER,animal,1,15
lion,Animals,a carnivore,T-SUPER,carnivore,1,5
lion,Animals,a feline,T-SUPER,feline,1,9
lion,Animals,is ferocious,E-SYS,ferocious,1,7
lion,Animals,roars,E-BEH,roars,1,6
lion,Animals,is strong,E-SYS,strong,1,5
lion,Animals,has hair,E-EXCOMP,hair,1,5
lion,Animals,has a mane,E-EXCOMP,mane,1,12
lion,Animals,king of the jungle,S-SOCART,king,1,13
lion,Animals,lives in the jungle,S-LOC,jungle,1,5
lipsstick,Accessories,coquetry,E-ABSTR,coquetry,1,5
lipsstick,Accessories,is creamy,E-EXSURF,creamy,1,5
lipsstick,Accessories,is red,E-EXSURF,red,1,5
lipsstick,Accessories,used for painting,S-FUNC,painting,1,8
lipsstick,Accessories,used by women,S-PERSON,women,1,12
lipsstick,Accessories,different colors,E-EXSURF,colors,1,8
lizard,Animals,an animal,T-SUPER,animal,1,9
lizard,Animals,is elusive,E-SYS,elusive,1,6
lizard,Animals,is green,E-EXSURF,green,1,12
lizard,Animals,a reptile,T-SUPER,reptile,1,8
lizard,Animals,is ugly,I-EVAL,ugly,1,5
llama,Animals,an animal,T-SUPER,animal,1,18
llama,Animals,is furry,E-EXSURF,furry,1,5
llama,Animals,is meek,E-SYS,meek,1,6
llama,Animals,poncho,S-OBJECT,poncho,1,5
llama,Animals,has wool,E-EXCOMP,wool,1,11
llama,Animals,lives in north,S-LOC,north,1,12
lobster,Animals,an animal,T-SUPER,animal,1,10
lobster,Animals,is eaten,S-ACTION,eaten,1,10
lobster,Animals,is orange,E-EXSURF,orange,1,5
lobster,Animals,is red,E-EXSURF,red,1,6
lobster,Animals,walks,E-BEH,walks,1,7
lobster,Animals,walks sideways,E-BEH,sideways,1,6
lobster,Animals,has clamps,E-EXCOMP,clamps,1,13
lobster,Animals,has legs,E-EXCOMP,legs,1,6
lobster,Animals,tastes good,I-EVAL,good,1,7
lobster,Animals,lives in the sea,S-LOC,sea,1,11
lobster,Animals,lives on the beach,S-LOC,beach,1,5
lock,Tools,key,S-OBJECT,key,1,10
lock,Tools,locked,S-PHYST,locked,1,6
lock,Tools,safety,S-SOCART,safety,1,24
lock,Tools,used for buttoning up,S-FUNC,buttoning up,2,15
lock,Tools,made of metal,E-MAT,metal,1,5
log,Plants,is brown,E-EXSURF,brown,1,7
log,Plants,firewood,S-OBJECT,firewood,1,7
log,Plants,used for lighting up a fire,S-FUNC,lighting up,2,6
log,Plants,made of wood,E-MAT,wood,1,11
log,Plants,a part of a tree,E-WHOLE,tree,1,15
lungs,Body parts,air,S-OBJECT,air,1,11
lungs,Body parts,cigarette,T-COORD,cigarette,1,5
lungs,Body parts,health,I-REP,health,1,5
lungs,Body parts,life,E-SYS,life,1,7
lungs,Body parts,an organ,T-SUPER,organ,1,13
lungs,Body parts,oxigen,S-OBJECT,oxigen,1,7
lungs,Body parts,used for breathing,S-FUNC,breathing,1,18
lungs,Body parts,is vital,I-REP,vital,1,7
lungs,Body parts,there are 2,E-QUANT,two,1,7
maracas,Musical instruments,dance,S-EVENT,dance,1,5
maracas,Musical instruments,joy,I-EMOT,joy,1,11
maracas,Musical instruments,used for making music,S-FUNC,music,1,15
maracas,Musical instruments,worn at parties,S-EVENT,parties,1,5
maracas,Musical instruments,makes noises,E-BEH,noises,1,9
maracas,Musical instruments,a musical instrument,T-SUPER,musical instrument,2,8
microscope,Tools,an instrument,E-MAT,instrument,1,6
microscope,Tools,is scientific,E-SYS,scientific,1,7
microscope,Tools,used to investigate,S-FUNC,investigate,1,9
microscope,Tools,has magnification,E-SYS,magnification,1,6
microscope,Tools,used for seeing small things,S-FUNC,seeing,1,5
microscope,Tools,found in the laboratory,S-LOC,laboratory,1,6
monkey,Animals,an animal,T-SUPER,animal,1,16
