cue,response,humanA1,humanA2,humanB1,humanB2,frequency,model1,model2
room,space,T,T-super,E,E-prop,17,T,T-syn
roommate,flatmate,T,T-coord,T,T-syn,3,T,T-syn
roommate,friend,I,I-eval,I,I-eval,11,T,T-coord
root,plant,E,E-whole,E,E-whole,6,E,E-whole
rope,string,T,T-syn,T,T-coord,5,T,T-syn
ruler,length,E,E-prop,E,E-prop,3,S,S-function
ruler,measure,S,S-function,S,S-action,11,S,S-function
sacrifice,blood,S,S-obj,T,T-sub,6,S,S-obj
sacrifice,death,I,I-contin,E,E-state,6,I,I-contin
sacrifice,kill,T,T-syn,E,E-beh,1,S,S-action
salad,dressing,S,S-obj,S,S-obj,7,S,S-obj
salad,green,E,E-prop,E,E-prop,12,E,E-prop
salad,lettuce,T,T-syn,E,E-comp,12,E,E-comp
salad,toss,S,S-action,S,S-action,2,S,S-action
salmon,acid,E,E-comp,E,E-comp,0,E,E-comp
salmon,pink,E,E-prop,E,E-prop,12,E,E-prop
salt,pepper,T,T-coord,S,S-obj,15,T,T-coord
salt,salty,E,E-prop,E,E-prop,2,E,E-prop
salt,sea,E,E-whole,E,E-whole,5,S,S-loc
salt,sugar,T,T-ant,T,T-ant,3,T,T-coord
sand,beach,E,E-whole,E,E-whole,21,S,S-loc
sand,castle,T,T-super,T,T-super,5,S,S-obj
sand,grain,E,E-comp,E,E-comp,2,E,E-comp
sand,sea,S,S-loc,S,S-loc,5,S,S-loc
sandwich,bread,T,T-coord,E,E-comp,14,E,E-comp
sandwich,ham,S,S-obj,S,S-obj,6,E,E-comp
sandwich,meat,S,S-obj,S,S-obj,5,E,E-comp
satellite,moon,T,T-super,S,S-obj,8,T,T-coord
satellite,orbit,E,E-prop,E,E-beh,5,S,S-loc
sauce,gravy,T,T-sub,T,T-sub,3,T,T-syn
sauce,ketchup,T,T-sub,T,T-sub,3,T,T-coord
sauce,pasta,S,S-obj,S,S-obj,4,S,S-obj
sauce,spaghetti,S,S-obj,S,S-obj,4,S,S-obj
sauce,tomato,T,T-sub,T,T-sub,10,E,E-comp
sausage,fest,S,S-time,S,S-time,4,S,S-obj
sausage,meat,E,E-comp,E,E-comp,9,E,E-comp
sausage,penis,I,I-contin,T,T-syn,2,I,I-contin
sausage,pork,E,E-comp,T,T-sub,5,E,E-comp
scandal,politics,S,S-obj,T,T-sub,5,S,S-obj
scandal,sex,T,T-sub,T,T-sub,7,S,S-obj
scarf,hat,T,T-coord,T,T-coord,3,T,T-coord
scarf,neck,S,S-loc,S,S-loc,11,S,S-loc
scarf,warm,E,E-prop,E,E-prop,10,E,E-prop
scholarship,free,I,I-contin,E,E-prop,3,I,I-contin
scholarship,money,S,S-obj,S,S-obj,13,E,E-comp
scholarship,school,S,S-loc,S,S-loc,8,S,S-loc
scholarship,study,S,S-action,S,S-action,6,S,S-function
school,building,T,T-super,S,S-loc,2,T,T-syn
school,days,S,S-time,S,S-time,2,S,S-time
school,learn,S,S-function,S,S-function,7,S,S-function
school,work,T,T-coord,S,S-action,6,S,S-function
science,art,T,T-ant,T,T-ant,2,T,T-ant
science,knowledge,E,E-prop,E,E-comp,4,T,T-syn
science,lab,S,S-loc,S,S-loc,3,S,S-loc
sculpture,marble,E,E-comp,E,E-prop,8,E,E-comp
sculpture,statue,T,T-syn,T,T-sub,6,T,T-syn
seaweed,green,E,E-prop,E,E-prop,11,E,E-prop
seaweed,sushi,E,E-whole,S,S-obj,8,E,E-whole
sentence,period,E,E-comp,E,E-comp,9,E,E-comp
sentence,phrase,T,T-syn,T,T-syn,4,T,T-coord
sentence,structure,E,E-prop,E,E-prop,3,E,E-whole
service,customer,T,T-sub,T,T-sub,3,S,S-agent
service,help,T,T-coord,E,E-prop,6,T,T-syn
service,military,T,T-sub,T,T-sub,5,T,T-super
service,work,T,T-coord,T,T-super,2,T,T-syn
sex,bed,S,S-loc,S,S-loc,3,S,S-loc
sex,female,T,T-sub,E,E-state,8,T,T-super
sex,gender,T,T-syn,T,T-ant,13,T,T-syn
sex,love,S,S-targetstate,S,S-context,6,I,I-emo
sex,male,T,T-sub,E,E-state,8,T,T-super
shadow,dark,E,E-prop,E,E-prop,13,E,E-prop
shadow,darkness,E,E-comp,E,E-comp,3,T,T-syn
shadow,light,T,T-ant,S,S-obj,8,T,T-ant
shadow,shade,E,E-prop,E,E-prop,3,T,T-syn
shape,form,T,T-syn,T,T-coord,7,T,T-syn
shark,attack,S,S-action,S,S-action,4,E,E-beh
shark,bite,S,S-action,S,S-action,3,E,E-beh
shark,fin,E,E-comp,E,E-comp,5,E,E-comp
shark,teeth,E,E-comp,E,E-comp,13,E,E-comp
sheep,cow,S,S-agent,T,T-coord,3,T,T-coord
sheep,dog,S,S-agent,S,S-agent,2,S,S-agent
sheep,lamb,T,T-sub,T,T-sub,6,T,T-sub
sheep,wool,E,E-comp,E,E-comp,20,E,E-comp
shorts,bermuda,T,T-sub,T,T-sub,3,T,T-coord
shorts,pants,T,T-sub,T,T-super,12,T,T-coord
shoulder,arm,T,T-coord,E,E-whole,12,E,E-whole
shoulder,body,E,E-whole,E,E-whole,5,E,E-whole
shoulder,cry,S,S-action,S,S-action,6,S,S-obj
shoulder,head,T,T-coord,T,T-coord,2,E,E-whole
shoulder,neck,T,T-coord,T,T-coord,3,T,T-coord
silver,gold,T,T-ant,T,T-coord,21,T,T-coord
singer,songwriter,T,T-coord,T,T-coord,3,T,T-coord
singer,stage,S,S-loc,S,S-loc,3,S,S-loc
sister,brother,T,T-ant,T,T-ant,17,T,T-coord
sister,friend,S,S-context,S,S-context,6,T,T-coord
skateboard,park,S,S-loc,S,S-loc,6,S,S-loc
skateboard,punk,S,S-agent,S,S-agent,4,S,S-obj
skin,flesh,T,T-coord,T,T-coord,3,T,T-syn
skin,soft,E,E-prop,E,E-prop,7,E,E-prop
skin,tight,S,S-targetstate,S,S-targetstate,1,E,E-prop
sky,above,S,S-loc,S,S-loc,1,S,S-loc
sky,blue,E,E-prop,E,E-prop,28,E,E-prop
sky,cloud,S,S-obj,S,S-obj,7,E,E-whole
sky,heaven,T,T-super,T,T-sub,2,I,I-contin
slave,black,E,E-prop,E,E-prop,12,S,S-context
slave,chains,S,S-obj,S,S-obj,4,S,S-obj
slave,master,T,T-ant,T,T-ant,4,S,S-agent
slave,worker,T,T-sub,T,T-super,1,T,T-syn
snail,shell,E,E-comp,E,E-comp,18,E,E-comp
snail,slow,E,E-prop,E,E-prop,18,E,E-prop
snail,trail,S,S-obj,S,S-obj,3,E,E-beh
snake,grass,S,S-loc,S,S-loc,3,S,S-loc
socialism,Marxism,T,T-coord,T,T-sub,5,T,T-syn
socialism,politics,S,S-obj,S,S-time,5,T,T-super
socialism,red,E,E-prop,E,E-prop,3,E,E-prop
society,community,T,T-super,T,T-sub,3,T,T-syn
society,culture,E,E-prop,E,E-comp,4,T,T-syn
society,group,T,T-super,T,T-super,9,T,T-syn
society,high,T,T-sub,T,T-sub,5,I,I-eval
society,people,E,E-comp,E,E-comp,10,T,T-syn
soldier,army,E,E-whole,E,E-whole,8,T,T-super
soldier,gun,E,E-comp,S,S-obj,6,S,S-obj
soldier,military,E,E-whole,E,E-whole,3,T,T-super
soldier,war,S,S-time,S,S-time,14,S,S-agent
son,daughter,T,T-ant,T,T-ant,18,T,T-coord
soup,bowl,S,S-loc,S,S-obj,5,S,S-obj
soup,chicken,T,T-sub,T,T-sub,6,E,E-comp
soup,hot,E,E-state,E,E-state,6,E,E-prop
soup,warm,E,E-state,E,E-prop,4,E,E-prop
speech,communication,T,T-super,T,T-super,1,T,T-syn
speech,tongue,S,S-obj,S,S-obj,2,E,E-comp
speech,words,E,E-comp,E,E-comp,5,E,E-comp
spell,check,S,S-action,S,S-action,5,S,S-action
spell,magic,E,E-prop,E,E-prop,4,S,S-obj
spider,arachnid,T,T-syn,T,T-super,6,T,T-super
spider,bite,S,S-action,S,S-action,4,E,E-beh
spider,web,S,S-loc,S,S-loc,15,E,E-comp
spoon,eat,S,S-function,S,S-action,3,S,S-function
spoon,soup,S,S-obj,S,S-obj,5,S,S-obj
sport,game,E,E-comp,E,E-comp,5,T,T-syn
spring,flowers,S,S-obj,S,S-obj,9,S,S-time
squirrel,tree,S,S-loc,S,S-loc,9,S,S-loc
stomach,ache,S,S-context,S,S-context,9,E,E-state
stomach,flu,S,S-context,S,S-context,2,S,S-obj
stomach,gut,T,T-syn,T,T-coord,6,T,T-syn
stone,hard,E,E-prop,E,E-prop,9,E,E-prop
story,tale,T,T-syn,T,T-syn,17,T,T-syn
story,teller,S,S-agent,S,S-agent,3,S,S-agent
story,telling,S,S-action,S,S-action,2,E,E-beh
story,time,S,S-time,S,S-time,5,S,S-time
stranger,candy,S,S-obj,S,S-obj,2,S,S-obj
stranger,dark,S,S-context,S,S-context,3,S,S-context
stranger,person,T,T-super,S,S-agent,3,T,T-syn
stranger,unknown,E,E-prop,E,E-prop,10,E,E-prop
straw,drink,S,S-obj,S,S-action,12,S,S-function
straw,hay,T,T-coord,T,T-coord,15,T,T-syn
strawberry,fields,S,S-loc,S,S-loc,6,S,S-loc
strawberry,raspberry,T,T-coord,T,T-coord,3,T,T-coord
street,address,E,E-whole,E,E-prop,4,S,S-loc
street,car,S,S-obj,S,S-obj,5,S,S-loc
street,road,T,T-coord,T,T-coord,17,T,T-syn
structure,building,T,T-sub,T,T-sub,27,T,T-syn
structure,edifice,T,T-sub,T,T-sub,1,T,T-syn
struggle,challenge,T,T-coord,T,T-coord,1,T,T-syn
struggle,fight,T,T-coord,T,T-coord,14,T,T-syn
struggle,hard,E,E-prop,E,E-prop,6,I,I-eval
struggle,try,E,E-prop,S,S-action,2,T,T-syn
success,goal,S,S-obj,E,E-prop,2,I,I-contin
success,rich,I,I-contin,E,E-prop,1,I,I-contin
success,win,T,T-syn,S,S-action,8,T,T-syn
success,winning,S,S-action,S,S-action,3,T,T-syn
suicide,death,E,E-state,E,E-prop,18,T,T-syn
suicide,die,I,I-contin,I,I-contin,2,S,S-action
sunrise,orange,E,E-prop,E,E-prop,4,E,E-prop
sunrise,sun,S,S-obj,E,E-comp,5,E,E-whole
sunrise,sunset,T,T-ant,T,T-ant,15,T,T-ant
sunset,beach,S,S-loc,S,S-loc,7,S,S-loc
sunset,orange,E,E-prop,E,E-state,8,E,E-prop
sunset,sunrise,T,T-ant,T,T-ant,7,T,T-ant
supermarket,groceries,S,S-obj,S,S-obj,5,S,S-obj
supermarket,grocery,S,S-obj,S,S-obj,5,T,T-syn
supermarket,shop,T,T-super,T,T-super,4,T,T-syn
supermarket,store,T,T-super,T,T-super,5,T,T-syn
swan,dive,S,S-action,S,S-action,2,S,S-action
swan,graceful,I,I-eval,E,E-prop,4,I,I-eval
swan,lake,S,S-loc,S,S-loc,10,S,S-loc
swan,white,E,E-prop,E,E-state,13,E,E-prop
sweater,jumper,T,T-coord,T,T-coord,6,T,T-syn
sweater,warm,E,E-prop,E,E-prop,12,E,E-prop
sweater,wool,E,E-comp,E,E-comp,8,E,E-comp
sword,fight,S,S-action,S,S-action,7,S,S-action
sword,sharp,E,E-prop,E,E-prop,4,E,E-prop
sword,shield,S,S-obj,S,S-obj,4,T,T-coord
tail,cat,E,E-whole,E,E-prop,9,E,E-whole
tail,dog,E,E-whole,E,E-prop,12,E,E-whole
tail,end,T,T-syn,S,S-targetstate,6,E,E-whole
tail,head,T,T-ant,T,T-ant,3,T,T-coord
tattoo,arm,S,S-loc,S,S-loc,2,S,S-loc
tattoo,art,T,T-super,T,T-super,5,T,T-sub
tax,evasion,S,S-action,S,S-action,2,S,S-action
tax,government,S,S-agent,S,S-agent,5,S,S-agent
tax,income,T,T-sub,T,T-sub,6,S,S-obj
tax,money,E,E-comp,E,E-comp,13,E,E-comp
tax,pay,S,S-action,S,S-action,3,S,S-action
tea,coffee,T,T-coord,T,T-coord,9,T,T-coord
tea,cup,S,S-loc,S,S-obj,5,S,S-obj
tea,drink,T,T-super,S,S-action,7,T,T-syn
tea,party,S,S-time,S,S-time,6,S,S-obj
teacher,professor,T,T-sub,T,T-sub,3,T,T-syn
teenager,acne,E,E-comp,E,E-prop,2,E,E-prop
teenager,angst,E,E-prop,E,E-prop,3,I,I-emo
teenager,kid,T,T-coord,T,T-syn,3,T,T-coord
teenager,youth,T,T-coord,T,T-syn,4,T,T-syn
teeth,bite,S,S-function,S,S-action,5,S,S-action
teeth,clean,S,S-targetstate,S,S-action,1,E,E-state
telescope,galileo,I,I-contin,I,I-contin,1,S,S-agent
telescope,space,S,S-obj,S,S-loc,6,S,S-loc
telescope,star,S,S-obj,S,S-obj,3,S,S-obj
telescope,stars,S,S-obj,S,S-obj,19,S,S-obj
tennis,ball,S,S-obj,E,E-comp,18,S,S-obj
tennis,balls,S,S-obj,S,S-obj,2,S,S-obj
tennis,racquet,S,S-obj,E,E-comp,7,S,S-obj
tent,camp,S,S-action,S,S-action,5,S,S-loc
tent,camping,S,S-loc,S,S-action,19,S,S-function
tent,pitch,S,S-action,S,S-action,5,S,S-action
tent,pole,E,E-comp,E,E-comp,3,E,E-comp
tent,pup,T,T-sub,T,T-sub,2,T,T-coord
theory,Einstein,S,S-agent,S,S-agent,2,S,S-agent
theory,hypothesis,E,E-comp,E,E-comp,7,T,T-coord
theory,practice,T,T-ant,T,T-ant,2,T,T-coord
theory,science,E,E-whole,E,E-whole,10,T,T-sub
thermometer,heat,S,S-context,S,S-context,6,S,S-function
thermometer,mercury,E,E-comp,E,E-comp,8,E,E-comp
thief,burglar,T,T-coord,T,T-syn,5,T,T-syn
thief,crook,T,T-coord,T,T-super,2,T,T-syn
thief,robber,T,T-coord,T,T-syn,10,T,T-syn
thief,steal,E,E-beh,E,E-beh,13,E,E-beh
throat,cut,S,S-action,S,S-action,2,S,S-action
throat,neck,T,T-coord,E,E-whole,10,T,T-syn
throat,sore,S,S-targetstate,S,S-targetstate,13,E,E-state
thumb,finger,T,T-super,T,T-coord,18,T,T-coord
thumb,nail,E,E-comp,E,E-comp,10,E,E-comp
tiger,lion,T,T-coord,T,T-coord,13,T,T-coord
tiger,stripes,E,E-comp,E,E-prop,14,E,E-prop
time,hour,E,E-comp,E,E-comp,4,T,T-syn
time,minute,E,E-comp,E,E-comp,1,T,T-super
toe,big,T,T-sub,T,T-sub,5,E,E-prop
toe,nail,E,E-comp,E,E-comp,12,E,E-comp
toe,stub,S,S-targetstate,S,S-action,4,S,S-action
tongue,cheek,T,T-coord,T,T-coord,5,T,T-coord
tongue,language,T,T-syn,T,T-syn,4,S,S-function
tongue,mouth,S,S-loc,S,S-loc,14,E,E-whole
toothbrush,clean,S,S-context,S,S-action,6,S,S-function
toothbrush,tooth,S,S-obj,S,S-obj,3,S,S-obj
towel,dry,S,S-function,S,S-action,13,S,S-function
towel,wet,S,S-context,S,S-context,10,E,E-state
tower,castle,E,E-whole,S,S-loc,8,T,T-coord
tower,Eiffel,T,T-sub,T,T-sub,3,S,S-loc
tower,London,S,S-loc,T,T-sub,3,S,S-loc
tower,tall,E,E-prop,E,E-prop,10,E,E-prop
toy,car,T,T-sub,T,T-sub,2,T,T-super
toy,game,S,S-time,T,T-coord,4,T,T-coord
tradition,Christmas,T,T-sub,T,T-sub,6,S,S-time
tradition,culture,E,E-whole,E,E-whole,4,T,T-syn
tradition,family,S,S-agent,S,S-agent,10,S,S-obj
tradition,old,E,E-prop,E,E-prop,5,T,T-ant
tragedy,comedy,T,T-ant,T,T-ant,5,T,T-ant
tragedy,death,T,T-sub,S,S-time,8,S,S-obj
tragedy,Shakespeare,I,I-contin,S,S-agent,7,S,S-agent
trap,bear,S,S-agent,T,T-sub,4,S,S-obj
trap,catch,T,T-super,S,S-action,5,S,S-action
trap,mouse,T,T-sub,T,T-sub,8,S,S-obj
tree,branch,E,E-comp,E,E-comp,7,E,E-comp
tree,bush,T,T-coord,T,T-coord,2,T,T-coord
tree,green,E,E-prop,E,E-state,9,E,E-prop
tree,oak,T,T-sub,T,T-sub,3,T,T-sub
tribe,Africa,S,S-loc,S,S-loc,2,S,S-loc
tribe,group,T,T-super,T,T-super,12,T,T-syn
tribe,Indian,T,T-sub,T,T-sub,8,T,T-coord
tribe,Indians,T,T-sub,T,T-sub,3,T,T-coord
tribe,Native American,T,T-sub,T,T-sub,3,T,T-coord
truth,honest,I,I-contin,E,E-prop,5,T,T-syn
truth,lie,T,T-ant,T,T-ant,10,T,T-ant
truth,lies,T,T-ant,T,T-ant,5,T,T-ant
tunnel,dark,E,E-prop,E,E-prop,7,E,E-prop
tunnel,hole,E,E-comp,E,E-comp,6,T,T-syn
tunnel,train,S,S-obj,S,S-obj,7,S,S-loc
uncle,aunt,T,T-ant,T,T-ant,17,T,T-coord
uncle,family,T,T-super,E,E-whole,5,T,T-sub
university,college,T,T-coord,T,T-coord,16,T,T-syn
university,education,S,S-function,S,S-function,9,T,T-super
university,learning,S,S-function,S,S-function,5,S,S-function
university,school,T,T-super,T,T-super,10,T,T-super
valley,green,E,E-prop,E,E-prop,10,E,E-prop
valley,hill,E,E-comp,E,E-comp,7,T,T-ant
valley,hills,E,E-comp,E,E-comp,4,S,S-loc
valley,mountain,E,E-comp,E,E-comp,5,T,T-coord
value,cost,T,T-syn,E,E-prop,6,T,T-syn
value,money,E,E-whole,E,E-whole,11,T,T-syn
value,price,T,T-syn,E,E-prop,6,T,T-syn
victim,blood,S,S-obj,S,S-obj,1,E,E-comp
victim,crime,S,S-time,S,S-time,14,S,S-obj
victim,hurt,S,S-targetstate,S,S-targetstate,6,S,S-action
victim,murder,S,S-action,S,S-action,6,S,S-agent
victim,rape,S,S-action,S,S-action,5,S,S-agent
video,film,T,T-sub,T,T-sub,5,T,T-syn
video,movie,T,T-sub,T,T-sub,11,T,T-syn
village,hamlet,T,T-syn,T,T-syn,2,T,T-syn
village,people,E,E-comp,E,E-comp,6,S,S-agent
village,small,E,E-state,E,E-prop,7,E,E-prop
village,town,T,T-coord,T,T-coord,20,T,T-coord
vinegar,salt,T,T-coord,T,T-coord,5,T,T-coord
vinegar,wine,T,T-coord,I,I-contin,6,T,T-ant
violence,anger,I,I-emo,I,I-emo,4,I,I-emo
violence,blood,S,S-obj,S,S-obj,6,S,S-obj
violence,crime,S,S-obj,S,S-action,4,T,T-syn
violin,cello,T,T-coord,T,T-coord,3,T,T-coord
violin,music,S,S-function,S,S-function,12,S,S-function
violin,strings,E,E-comp,E,E-comp,6,E,E-comp
violin,viola,T,T-coord,T,T-coord,6,T,T-coord
visa,Mastercard,T,T-coord,T,T-coord,5,T,T-coord
visa,passport,S,S-obj,S,S-obj,14,T,T-coord
visa,travel,S,S-action,S,S-action,15,S,S-function
vocabulary,dictionary,S,S-obj,S,S-obj,8,S,S-obj
vocabulary,language,E,E-whole,E,E-whole,6,T,T-super
vocabulary,large,S,S-targetstate,E,E-prop,3,E,E-prop
vocabulary,word,E,E-comp,E,E-comp,3,T,T-super
vocabulary,words,E,E-comp,E,E-comp,21,T,T-super
volcano,eruption,E,E-beh,S,S-action,8,E,E-beh
volcano,fire,E,E-comp,E,E-comp,5,E,E-beh
volcano,lava,E,E-comp,E,E-comp,21,E,E-comp
volleyball,ball,T,T-super,T,T-super,5,T,T-super
volleyball,beach,S,S-loc,S,S-loc,9,S,S-loc
volleyball,game,S,S-time,S,S-time,7,T,T-super
volleyball,net,S,S-obj,S,S-obj,15,S,S-obj
water,drink,T,T-super,S,S-action,9,S,S-action
water,liquid,T,T-super,E,E-state,6,T,T-syn
water,wet,E,E-prop,E,E-prop,6,E,E-prop
watermelon,juicy,E,E-prop,E,E-prop,6,E,E-prop
watermelon,seed,E,E-comp,E,E-comp,4,E,E-comp
wealth,greed,S,S-context,I,I-eval,1,I,I-contin
weather,climate,E,E-whole,E,E-whole,3,T,T-syn
weather,cold,E,E-state,E,E-state,5,E,E-prop
weather,rain,T,T-sub,T,T-sub,16,E,E-comp
weather,sunny,T,T-sub,T,T-sub,4,E,E-state
wedding,bells,S,S-obj,S,S-obj,5,S,S-obj
wedding,day,S,S-time,S,S-time,4,S,S-time
wedding,white,S,S-context,S,S-context,8,S,S-context
weight,fat,I,I-contin,I,I-contin,10,T,T-coord
weight,heavy,E,E-state,E,E-state,10,T,T-syn
weight,height,T,T-coord,T,T-coord,5,T,T-ant
weight,mass,T,T-syn,T,T-coord,7,T,T-syn
whale,blue,T,T-sub,T,T-sub,8,E,E-prop
whale,fish,T,T-super,S,S-agent,5,T,T-super
wheat,bread,E,E-whole,E,E-whole,19,E,E-whole
wheat,chaff,E,E-comp,E,E-comp,2,E,E-comp
wheat,flour,S,S-targetstate,E,E-state,3,E,E-whole
wheat,grain,T,T-super,T,T-super,6,E,E-whole
wheel,car,E,E-whole,E,E-whole,15,E,E-comp
wheel,circle,E,E-prop,E,E-prop,3,T,T-syn
wheel,tire,E,E-comp,E,E-comp,5,E,E-comp
width,breadth,T,T-coord,T,T-coord,8,T,T-syn
width,girth,T,T-coord,T,T-coord,4,T,T-syn
width,height,T,T-ant,T,T-ant,9,T,T-ant
width,length,T,T-ant,T,T-ant,13,T,T-coord
width,wide,E,E-state,E,E-state,12,T,T-syn
wife,husband,T,T-ant,T,T-ant,16,T,T-coord
wife,mother,T,T-coord,S,S-context,5,T,T-coord
wife,spouse,T,T-syn,T,T-super,11,T,T-syn
wife,woman,E,E-prop,E,E-prop,9,T,T-syn
wind,blow,E,E-beh,E,E-beh,10,E,E-beh
wind,breeze,T,T-syn,T,T-sub,6,T,T-syn
wolf,dog,T,T-coord,T,T-super,15,T,T-super
woman,beauty,E,E-prop,I,I-contin,2,I,I-eval
woman,female,T,T-super,E,E-prop,13,T,T-syn
woman,girl,T,T-sub,T,T-ant,8,T,T-super
woman,lady,T,T-sub,T,T-syn,6,T,T-syn
wool,cotton,T,T-coord,T,T-coord,2,T,T-coord
wool,itchy,E,E-prop,E,E-prop,3,E,E-prop
wool,lamb,E,E-whole,E,E-whole,2,E,E-whole
wool,sheep,E,E-whole,E,E-whole,25,E,E-whole
wool,sweater,E,E-whole,E,E-whole,5,E,E-whole
worker,ant,T,T-super,T,T-super,2,T,T-coord
worker,construction,T,T-sub,S,S-agent,3,S,S-loc
worker,employee,T,T-syn,T,T-syn,6,T,T-syn
wrinkle,age,I,I-contin,I,I-contin,6,E,E-prop
wrinkle,old,S,S-time,S,S-time,15,E,E-prop
wrinkle,skin,S,S-targetstate,S,S-targetstate,9,E,E-whole
wrist,arm,E,E-whole,E,E-whole,9,E,E-whole
wrist,hand,E,E-comp,E,E-comp,16,T,T-super
wrist,joint,T,T-super,T,T-super,4,E,E-comp
wrist,watch,S,S-obj,S,S-obj,12,S,S-obj
year,age,E,E-prop,E,E-prop,7,T,T-syn
year,calendar,S,S-obj,S,S-obj,3,S,S-loc
year,month,E,E-comp,E,E-comp,7,T,T-super
year,time,E,E-prop,E,E-prop,11,T,T-syn
yoga,mat,S,S-obj,S,S-obj,4,S,S-obj
yoga,pants,S,S-obj,S,S-obj,5,S,S-obj
yoga,relax,S,S-function,E,E-prop,3,S,S-function
yoga,stretch,S,S-action,S,S-action,9,S,S-action
yogurt,bacteria,E,E-comp,S,S-obj,4,E,E-comp
yogurt,dairy,T,T-super,T,T-super,9,T,T-super
yogurt,Greek,T,T-sub,T,T-sub,8,E,E-comp
yogurt,milk,E,E-comp,E,E-comp,5,E,E-comp
zoo,animal,S,S-agent,S,S-agent,9,S,S-loc
zoo,animals,S,S-agent,S,S-agent,17,S,S-obj
zoo,keeper,S,S-agent,S,S-agent,2,S,S-agent
ability,skill,T,T-syn,T,T-syn,11,T,T-syn
achievement,accomplishment,T,T-syn,T,T-syn,5,T,T-syn
achievement,trophy,S,S-obj,S,S-obj,3,S,S-obj
activity,exercise,T,T-sub,T,T-sub,6,T,T-syn
activity,game,T,T-sub,T,T-sub,2,T,T-syn
activity,movement,T,T-sub,T,T-sub,4,T,T-syn
activity,play,T,T-sub,T,T-sub,7,S,S-action
activity,sport,T,T-sub,T,T-sub,4,T,T-super
adventure,fun,I,I-eval,I,I-eval,8,I,I-eval
adventure,map,S,S-obj,S,S-obj,1,S,S-obj
air,oxygen,E,E-comp,E,E-comp,9,E,E-comp
air,plane,S,S-obj,S,S-obj,5,S,S-obj
airport,airplane,S,S-obj,S,S-obj,3,S,S-loc
airport,fly,S,S-action,S,S-action,3,S,S-action
alcohol,beer,T,T-sub,T,T-sub,10,T,T-coord
alcohol,booze,T,T-syn,T,T-syn,8,T,T-syn
alcohol,wine,T,T-sub,T,T-sub,5,T,T-sub
ambulance,accident,S,S-time,S,S-time,4,S,S-loc
ambulance,emergency,S,S-time,S,S-time,13,S,S-function
anchor,boat,E,E-whole,E,E-whole,12,E,E-whole
anchor,ship,E,E-whole,E,E-whole,17,E,E-whole
apartment,condo,T,T-syn,T,T-syn,3,T,T-coord
apartment,flat,T,T-syn,T,T-syn,7,T,T-syn
apple,core,E,E-comp,E,E-comp,3,E,E-comp
apple,fruit,T,T-super,T,T-super,11,T,T-super
apple,orange,T,T-coord,T,T-coord,9,T,T-coord
apple,pear,T,T-coord,T,T-coord,6,T,T-coord
arrest,cops,S,S-agent,S,S-agent,2,S,S-agent
arrest,crime,S,S-time,S,S-time,6,S,S-action
arrest,police,S,S-agent,S,S-agent,16,S,S-agent
arrow,point,E,E-comp,E,E-comp,5,E,E-comp
art,painting,T,T-sub,T,T-sub,10,T,T-super
atom,small,E,E-prop,E,E-prop,8,E,E-prop
attack,war,S,S-time,S,S-time,6,S,S-time
attitude,mood,T,T-coord,T,T-coord,1,T,T-syn
attitude,outlook,T,T-syn,T,T-syn,3,T,T-syn
audience,people,E,E-comp,E,E-comp,6,T,T-syn
author,book,S,S-obj,S,S-obj,22,T,T-super
author,books,S,S-obj,S,S-obj,3,S,S-obj
autumn,fall,T,T-syn,T,T-syn,22,T,T-syn
autumn,leaves,S,S-obj,S,S-obj,24,E,E-comp
autumn,orange,S,S-context,S,S-context,4,E,E-prop
autumn,season,T,T-sub,T,T-sub,4,T,T-super
autumn,spring,T,T-coord,T,T-coord,4,T,T-ant
balance,equal,E,E-prop,E,E-prop,4,T,T-syn
balance,even,E,E-prop,E,E-prop,4,T,T-syn
balance,scale,S,S-obj,S,S-obj,5,T,T-syn
balance,scales,S,S-obj,S,S-obj,3,T,T-syn
ball,base,S,S-obj,S,S-obj,5,S,S-obj
ball,round,E,E-prop,E,E-prop,8,E,E-prop
ballet,dancing,S,S-action,S,S-action,2,S,S-action
ballet,tutu,S,S-obj,S,S-obj,5,S,S-obj
balloon,round,E,E-prop,E,E-prop,4,E,E-prop
bamboo,grass,T,T-coord,T,T-coord,3,T,T-super
banana,apple,T,T-coord,T,T-coord,3,T,T-coord
banana,fruit,T,T-super,T,T-super,18,T,T-super
banana,peel,E,E-comp,E,E-comp,5,E,E-comp
banana,yellow,E,E-prop,E,E-prop,21,E,E-prop
bandage,blood,S,S-obj,S,S-obj,6,S,S-obj
bandage,wound,S,S-obj,S,S-obj,13,S,S-obj
baseball,America,S,S-loc,S,S-loc,3,S,S-loc
baseball,game,T,T-super,T,T-super,5,T,T-super
baseball,sport,T,T-super,T,T-super,6,T,T-super
basement,cellar,T,T-syn,T,T-syn,9,T,T-syn
basket,container,T,T-super,T,T-super,4,T,T-syn
basket,weave,S,S-action,S,S-action,7,S,S-action
basketball,baseball,T,T-coord,T,T-coord,3,T,T-coord
basketball,sport,T,T-super,T,T-super,5,T,T-super
basketball,sports,T,T-super,T,T-super,3,T,T-super
bat,animal,T,T-super,T,T-super,4,T,T-super
bat,black,E,E-prop,E,E-prop,4,E,E-prop
bat,wings,E,E-comp,E,E-comp,3,E,E-comp
beach,sun,S,S-obj,S,S-obj,11,S,S-loc
bear,animal,T,T-super,T,T-super,6,T,T-super
bear,grizzly,T,T-sub,T,T-sub,7,T,T-sub
