cue,category,response,nWords,frequency,human1,human2,model1,model2
envelope,Utensils,brings news,1,7,S,S-FUNC,S,S-FUNC
envelope,Utensils,used for saving papers,1,5,S,S-FUNC,S,S-FUNC
envelope,Utensils,made of paper,1,8,E,E-MAT,E,E-MAT
envelope,Utensils,used for sending an invitation,1,6,S,S-FUNC,S,S-FUNC
eye,Body parts,a part of the body,1,5,E,E-WHOLE,T,T-SYN
eye,Body parts,is necessary,1,7,I,I-EVAL,E,E-SYS
eye,Body parts,is nice,1,5,I,I-EVAL,I,I-EVAL
eye,Body parts,sight,1,11,S,S-FUNC,E,E-SYS
eye,Body parts,used to see,1,9,S,S-FUNC,S,S-FUNC
eye,Body parts,found on the face,1,5,S,S-LOC,S,S-LOC
fan,Accessories,is ancient,1,7,S,S-TIME,E,E-SYS
fan,Accessories,is decorative,1,7,E,E-SYS,E,E-SYS
fan,Accessories,used for heat,1,12,S,S-FUNC,S,S-FUNC
fan,Accessories,gives air,2,8,S,S-FUNC,E,E-BEH
fan,Accessories,used for blowing air,2,12,S,S-FUNC,S,S-FUNC
fan,Accessories,can be folded,1,5,S,S-ACTION,E,E-SYS
fan,Accessories,gives fresh air,2,7,S,S-FUNC,S,S-FUNC
fan,Accessories,made of fabric,1,5,E,E-MAT,E,E-MAT
faucet,House Parts,cleanliness,1,5,S,S-SOCART,S,S-FUNC
faucet,House Parts,leaks,1,6,E,E-BEH,E,E-BEH
faucet,House Parts,where water comes out,1,24,E,E-SYS,E,E-EXCOMP
faucet,House Parts,made of metal,1,6,E,E-MAT,E,E-MAT
faucet,House Parts,found in the bathroom,1,8,S,S-LOC,S,S-LOC
faucet,House Parts,found in the kitchen,1,6,S,S-LOC,S,S-LOC
feather,Body parts,duster,1,8,E,E-WHOLE,E,E-WHOLE
feather,Body parts,flies,1,5,E,E-BEH,E,E-BEH
feather,Body parts,pillow,1,5,S,S-OBJECT,E,E-WHOLE
feather,Body parts,used for writing,1,9,S,S-FUNC,S,S-FUNC
feather,Body parts,different colors,1,7,E,E-EXSURF,E,E-EXSURF
feather,Body parts,found in birds,1,30,E,E-WHOLE,E,E-WHOLE
fence,Constructions,is decorative,1,6,E,E-SYS,E,E-SYS
fence,Constructions,used for protecting,1,6,S,S-FUNC,S,S-FUNC
fence,Constructions,eg - wire,1,6,E,E-MAT,E,E-MAT
fence,Constructions,sets boundaries,1,12,S,S-FUNC,S,S-FUNC
fence,Constructions,made of wood,1,16,E,E-MAT,E,E-MAT
fence,Constructions,found in the field,1,5,S,S-LOC,S,S-LOC
fence,Constructions,found in the garden,1,6,S,S-LOC,S,S-LOC
fence,Constructions,serves to devide land,1,10,S,S-FUNC,S,S-FUNC
fern,Plants,bouquet,1,5,E,E-WHOLE,S,S-OBJECT
fern,Plants,decorates,1,8,S,S-FUNC,S,S-FUNC
fern,Plants,is green,1,11,E,E-EXSURF,E,E-EXSURF
fern,Plants,is nice,1,5,I,I-EVAL,I,I-EVAL
fern,Plants,a plant,1,21,T,T-SUPER,T,T-ONT
ferris wheel,Toys,travel,1,5,T,T-SYN,S,S-EVENT
ferris wheel,Toys,found in the amusement park,2,7,S,S-BUILD,S,S-LOC
finger,Body parts,a part of the body,1,7,E,E-WHOLE,T,T-ONT
finger,Body parts,foot,1,6,E,E-WHOLE,T,T-COORD
finger,Body parts,ring,1,8,S,S-OBJECT,S,S-OBJECT
finger,Body parts,used for pointing,1,5,S,S-FUNC,S,S-FUNC
finger,Body parts,has nail,1,10,E,E-EXCOMP,E,E-EXCOMP
finger,Body parts,found in the hand,1,18,S,S-LOC,E,E-WHOLE
fire hydrant,Containers,eg - manual,1,5,T,T-SUBORD,E,E-SYS
fire hydrant,Containers,used for watering,1,6,S,S-FUNC,S,S-FUNC
fire hydrant,Containers,used to get water,1,8,S,S-FUNC,S,S-FUNC
fire hydrant,Containers,contains water,1,9,S,S-OBJECT,E,E-INCOMP
fire hydrant,Containers,eg - electric stove,2,5,T,T-SUBORD,T,T-COORD
fire hydrant,Containers,found in the field,1,7,S,S-LOC,S,S-LOC
fireplace,Constructions,fire,1,13,S,S-OBJECT,S,S-OBJECT
fireplace,Constructions,firewood,1,9,S,S-OBJECT,E,E-INCOMP
fireplace,Constructions,home,1,11,T,T-SYN,S,S-LOC
fireplace,Constructions,releases smoke,1,16,E,E-BEH,E,E-BEH
fireplace,Constructions,used for heatting up,2,16,S,S-FUNC,S,S-FUNC
fireplace,Constructions,made of bricks,1,5,E,E-MAT,E,E-MAT
fish,Animals,an animal,1,6,T,T-SUPER,T,T-ONT
fish,Animals,is eaten,1,11,S,S-ACTION,S,S-ACTION
fish,Animals,a foodstuff,1,5,T,T-SUPER,S,S-FUNC
fish,Animals,swims,1,11,E,E-BEH,E,E-BEH
fish,Animals,has scales,1,6,E,E-EXCOMP,E,E-EXSURF
fish,Animals,lives in the sea,1,6,S,S-LOC,S,S-LOC
fish,Animals,lives in the water,1,12,S,S-LOC,S,S-LOC
fishbowl,Containers,contains water,1,19,E,E-INSURF,S,S-OBJECT
fishbowl,Containers,has plants,1,5,S,S-LIVING,E,E-EXCOMP
fishbowl,Containers,has fishes inside,2,22,S,S-LIVING,E,E-INCOMP
fishbowl,Containers,has little stones,2,6,S,S-OBJECT,E,E-INCOMP
fishbowl,Containers,made of glass,1,7,E,E-MAT,E,E-MAT
fishhook,Tools,bait,1,8,S,S-LIVING,S,S-FUNC
fishhook,Tools,is dangerous,1,5,I,I-EVAL,E,E-SYS
fishhook,Tools,fish,1,24,S,S-LIVING,S,S-OBJECT
fishhook,Tools,used by the fisherman,1,5,S,S-PERSON,S,S-FUNC
fishhook,Tools,river,1,5,S,S-LOC,S,S-LOC
fishhook,Tools,sea,1,8,S,S-LOC,S,S-LOC
fishhook,Tools,used for fishing,1,24,S,S-FUNC,S,S-FUNC
fishhook,Tools,fishing rod,2,14,S,S-OBJECT,T,T-SUBORD
fishing rod,Tools,fish,1,6,S,S-LIVING,S,S-FUNC
fishing rod,Tools,used for fishing,1,13,S,S-FUNC,S,S-FUNC
fishing rod,Tools,a part of the fishing rod,2,6,E,E-WHOLE,E,E-EXCOMP
fishing rod,Tools,has a fishing line,2,7,E,E-EXCOMP,E,E-EXCOMP
fishtail,Body parts,fish,1,6,E,E-WHOLE,E,E-WHOLE
fishtail,Body parts,sea,1,5,S,S-LOC,S,S-LOC
fishtail,Body parts,used for propelling,1,5,S,S-FUNC,E,E-BEH
fishtail,Body parts,used for swimming,1,11,S,S-FUNC,E,E-BEH
fishtail,Body parts,has scales,1,6,E,E-EXCOMP,E,E-EXSURF
fishtail,Body parts,serves as helm,1,6,S,S-FUNC,E,E-SYS
fishtail,Body parts,a part of an animal,1,5,E,E-WHOLE,E,E-EXCOMP
flag,Objects,flutters,1,8,E,E-BEH,E,E-BEH
flag,Objects,homeland,1,9,I,I-REP,S,S-SOCART
flag,Objects,a symbol,1,7,T,T-SUPER,S,S-SOCART
flag,Objects,used for representing a country,1,5,S,S-FUNC,S,S-FUNC
flag,Objects,different colors,1,8,E,E-EXSURF,E,E-EXSURF
flag,Objects,a patriotic symbol,2,5,E,E-ABSTR,T,T-ONT
flag,Objects,made of fabric,1,8,E,E-MAT,E,E-MAT
flag,Objects,found in the school,1,5,S,S-BUILD,S,S-LOC
flag,Objects,found on the mast,1,5,S,S-LOC,S,S-LOC
flag,Objects,is light blue and white,4,6,E,E-EXSURF,E,E-EXSURF
flamingo,Animals,a bird,1,14,T,T-SUPER,T,T-ONT
flamingo,Animals,is colorful,1,6,E,E-EXSURF,E,E-EXSURF
flamingo,Animals,is pink,1,15,T,T-SUPER,E,E-EXSURF
flamingo,Animals,lives in the water,1,15,S,S-LOC,S,S-LOC
flamingo,Animals,stands on one leg,1,5,E,E-BEH,E,E-BEH
flashlight,Tools,a tool,1,5,T,T-SUPER,T,T-SYN
flashlight,Tools,is useful,1,7,I,I-EVAL,E,E-SYS
flashlight,Tools,has batteries,1,16,E,E-INCOMP,E,E-INCOMP
flashlight,Tools,produces light,1,14,E,E-BEH,E,E-SYS
flashlight,Tools,used for lighting up,2,20,S,S-FUNC,S,S-FUNC
flashlight,Tools,made of metal,1,6,E,E-MAT,E,E-MAT
flashlight,Tools,made of plastic,1,8,E,E-MAT,E,E-MAT
flower,Plants,is nice,1,9,I,I-EVAL,I,I-EVAL
flower,Plants,eg - pink,1,8,E,E-EXSURF,T,T-SUBORD
flower,Plants,present,1,7,S,S-ACTION,S,S-FUNC
flower,Plants,spring,1,8,S,S-TIME,S,S-TIME
flower,Plants,used for decorating,1,7,S,S-FUNC,S,S-FUNC
flower,Plants,different colors,1,11,E,E-EXSURF,E,E-EXSURF
flower,Plants,has perfume,1,22,E,E-EXSURF,E,E-EXSURF
flower,Plants,has petals,1,7,E,E-EXCOMP,E,E-EXCOMP
flower,Plants,found in the garden,1,8,S,S-LOC,S,S-LOC
flute,Musical instruments,is blown,1,6,S,S-ACTION,S,S-ACTION
flute,Musical instruments,music,1,17,S,S-FUNC,S,S-FUNC
flute,Musical instruments,orchestra,1,6,E,E-WHOLE,S,S-SOCORG
flute,Musical instruments,school,1,5,S,S-LOC,S,S-SOCORG
flute,Musical instruments,sound,1,11,S,S-FUNC,E,E-EXSURF
flute,Musical instruments,a musical instrument,2,16,T,T-SUPER,T,T-SYN
flute,Musical instruments,eg - sweet flute,2,7,T,T-SUBORD,E,E-SYS
flute,Musical instruments,a wind musical intrument,3,6,T,T-SUPER,T,T-ONT
fly,Animals,annoying,1,16,I,I-EVAL,I,I-EVAL
fly,Animals,is dirty,1,9,I,I-EVAL,E,E-SYS
fly,Animals,is disgusting,1,9,I,I-EVAL,I,I-EVAL
fly,Animals,flies,1,8,E,E-BEH,E,E-BEH
fly,Animals,an insect,1,12,T,T-SUPER,T,T-SYN
fly,Animals,is ugly,1,7,I,I-EVAL,I,I-EVAL
fly,Animals,has wings,1,6,E,E-EXCOMP,E,E-EXCOMP
foot,Body parts,a part of the body,1,10,E,E-WHOLE,T,T-SUBORD
foot,Body parts,shoe,1,8,S,S-OBJECT,S,S-OBJECT
foot,Body parts,used for walking,1,20,S,S-FUNC,S,S-FUNC
foot,Body parts,has fingers,1,10,E,E-EXCOMP,E,E-EXCOMP
foot,Body parts,has nails,1,6,E,E-EXCOMP,E,E-EXCOMP
foot,Body parts,serves as a support,1,7,S,S-FUNC,S,S-FUNC
foot,Body parts,is the support of the body,1,5,S,S-FUNC,E,E-SYS
fork,Utensils,food,1,5,S,S-OBJECT,S,S-OBJECT
fork,Utensils,used for eating,1,20,S,S-FUNC,S,S-FUNC
fork,Utensils,is useful,1,9,I,I-EVAL,E,E-SYS
fork,Utensils,a utensil,1,13,T,T-SUPER,T,T-SUPER
fork,Utensils,has teeth,1,6,E,E-INCOMP,E,E-EXCOMP
fork,Utensils,made of metal,1,6,E,E-MAT,E,E-MAT
fork,Utensils,found in the kitchen,1,8,S,S-LOC,S,S-LOC
fox,Animals,an animal,1,20,T,T-SUPER,T,T-ONT
fox,Animals,is clever,1,10,E,E-SYS,E,E-SYS
fox,Animals,a mammal,1,10,T,T-SUPER,T,T-ONT
fox,Animals,a quadruped,1,8,T,T-SUPER,T,T-ONT
fox,Animals,is wild,1,10,E,E-SYS,E,E-SYS
fox,Animals,has legs,1,6,E,E-EXCOMP,E,E-EXCOMP
fox,Animals,used for making warm clothing,1,5,S,S-ACTION,S,S-FUNC
fox,Animals,has a tail,1,7,E,E-EXCOMP,E,E-EXCOMP
fox,Animals,it's fur is used,1,8,S,S-ACTION,S,S-FUNC
fox,Animals,lives in the countryside,1,5,S,S-LOC,S,S-LOC
franch horn,Musical instruments,is big,1,5,E,E-QUANT,E,E-QUANT
franch horn,Musical instruments,is golden,1,5,E,E-EXSURF,E,E-EXSURF
franch horn,Musical instruments,orchestra,1,11,E,E-WHOLE,S,S-SOCORG
franch horn,Musical instruments,sound,1,5,S,S-FUNC,E,E-EXSURF
franch horn,Musical instruments,used for making music,1,13,S,S-FUNC,S,S-FUNC
franch horn,Musical instruments,a musical instrument,2,28,T,T-SUPER,T,T-ONT
franch horn,Musical instruments,made of metal,1,7,E,E-MAT,E,E-MAT
franch horn,Musical instruments,a wind musical intrument,3,7,T,T-SUPER,T,T-ONT
frying pan,Utensils,kitchen,1,8,S,S-LOC,S,S-LOC
frying pan,Utensils,oil,1,7,S,S-OBJECT,S,S-OBJECT
frying pan,Utensils,eg - teflon,1,6,E,E-MAT,T,T-SUBORD
frying pan,Utensils,used for cooking,1,10,S,S-FUNC,S,S-FUNC
frying pan,Utensils,used for frying,1,6,S,S-FUNC,S,S-FUNC
frying pan,Utensils,used for making pancakes,1,6,S,S-FUNC,S,S-FUNC
frying pan,Utensils,used to make food,1,9,S,S-FUNC,S,S-FUNC
frying pan,Utensils,has grip,1,10,E,E-EXCOMP,E,E-EXCOMP
frying pan,Utensils,used for cooking eggs,1,10,S,S-FUNC,S,S-FUNC
frying pan,Utensils,used for making breaded meet,2,5,S,S-FUNC,S,S-FUNC
frying pan,Utensils,used for making fried food,2,5,S,S-FUNC,S,S-FUNC
funnel,Utensils,bottle,1,5,S,S-OBJECT,S,S-FUNC
funnel,Utensils,used for transfering liquids,1,12,S,S-FUNC,S,S-FUNC
funnel,Utensils,used for transfering liquids,1,5,S,S-FUNC,S,S-FUNC
funnel,Utensils,is useful,1,11,I,I-EVAL,I,I-EVAL
funnel,Utensils,a utensil,1,9,T,T-SUPER,T,T-SUPER
funnel,Utensils,made of metal,1,10,E,E-MAT,E,E-MAT
funnel,Utensils,made of plastic,1,18,E,E-MAT,E,E-MAT
funnel,Utensils,found in the kitchen,1,10,S,S-LOC,S,S-LOC
garbage can,Containers,used for throwing garbage,1,24,S,S-FUNC,S,S-FUNC
garbage can,Containers,is useful,1,5,I,I-EVAL,I,I-EVAL
garbage can,Containers,made of plastic,1,5,E,E-MAT,E,E-MAT
giraffe,Animals,an animal,1,21,T,T-SUPER,T,T-ONT
giraffe,Animals,an herbivore,1,5,T,T-SUPER,E,E-SYS
giraffe,Animals,a mammal,1,5,T,T-SUPER,T,T-ONT
giraffe,Animals,is tall,1,12,E,E-QUANT,E,E-SYS
giraffe,Animals,has spots,1,9,E,E-EXSURF,E,E-EXSURF
giraffe,Animals,lives in the jungle,1,11,S,S-LOC,S,S-LOC
giraffe,Animals,lives in the zoo,1,8,S,S-LOC,S,S-LOC
glass,Utensils,a container,1,8,T,T-SUPER,T,T-SUPER
glass,Utensils,used for drinking,1,13,S,S-FUNC,S,S-FUNC
glass,Utensils,used for keeping fluids,1,6,S,S-FUNC,S,S-FUNC
glass,Utensils,contains water,1,9,S,S-OBJECT,S,S-OBJECT
glass,Utensils,used for drinking wine,1,6,S,S-FUNC,S,S-FUNC
glass,Utensils,made of glass,1,15,E,E-MAT,E,E-MAT
glass,Utensils,made of plastic,1,9,E,E-MAT,E,E-MAT
glasses,Accessories,eg - sunglasses,1,19,T,T-SUBORD,T,T-SUBORD
glasses,Accessories,used for reading,1,10,S,S-FUNC,S,S-FUNC
glasses,Accessories,used to see,1,16,S,S-FUNC,S,S-FUNC
glasses,Accessories,eg - contact glasses,2,5,T,T-SUBORD,T,T-SUBORD
glasses,Accessories,has glass,1,5,E,E-EXCOMP,E,E-MAT
glasses,Accessories,used for seeing far,1,9,S,S-FUNC,S,S-FUNC
glasses,Accessories,used for seeing near,1,6,S,S-FUNC,S,S-FUNC
globe,Objects,geography,1,6,S,S-SOCART,S,S-SOCART
globe,Objects,is round,1,9,E,E-EXSURF,E,E-EXSURF
globe,Objects,used for looking at the sea,1,7,S,S-FUNC,S,S-FUNC
globe,Objects,world,1,10,I,I-REP,T,T-SYN
globe,Objects,different colors,1,7,E,E-EXSURF,E,E-EXSURF
globe,Objects,used for showing the countries,1,10,S,S-FUNC,S,S-FUNC
glove,Clothing,used for keeping warm,1,8,S,S-FUNC,S,S-FUNC
glove,Clothing,made of rubber,1,6,E,E-MAT,E,E-MAT
glove,Clothing,made of wool,1,9,E,E-MAT,E,E-MAT
glove,Clothing,used for covering the hands,1,7,S,S-FUNC,S,S-FUNC
glove,Clothing,used for covering of the cold,1,11,S,S-FUNC,S,S-FUNC
goat,Animals,an animal,1,17,T,T-SUPER,T,T-ONT
goat,Animals,cheese,1,11,S,S-OBJECT,S,S-OBJECT
goat,Animals,is eaten,1,5,S,S-ACTION,S,S-ACTION
goat,Animals,a mammal,1,5,T,T-SUPER,T,T-ONT
goat,Animals,gives milk,1,24,E,E-BEH,E,E-BEH
goat,Animals,has hair,1,6,E,E-EXCOMP,E,E-EXCOMP
goat,Animals,has horns,1,8,E,E-EXCOMP,E,E-EXCOMP
goat,Animals,has legs,1,6,E,E-EXCOMP,E,E-EXCOMP
goat,Animals,has wool,1,5,E,E-EXCOMP,E,E-EXCOMP
goat,Animals,lives in the countryside,1,7,S,S-LOC,S,S-LOC
goat,Animals,lives in the hill,1,5,S,S-LOC,S,S-LOC
goggles,Accessories,is colorful,1,5,E,E-EXSURF,E,E-EXSURF
goggles,Accessories,used for protecting,1,25,S,S-FUNC,S,S-FUNC
goggles,Accessories,used for swimming,1,10,S,S-FUNC,S,S-FUNC
goggles,Accessories,used for welding,1,7,S,S-FUNC,S,S-FUNC
goggles,Accessories,water,1,8,E,E-INCOMP,S,S-OBJECT
goggles,Accessories,made of plastic,1,7,E,E-MAT,E,E-MAT
goggles,Accessories,made of rubber,1,5,E,E-MAT,E,E-MAT
gorilla,Animals,an animal,1,12,T,T-SUPER,T,T-ONT
gorilla,Animals,is big,1,16,E,E-QUANT,E,E-SYS
gorilla,Animals,is dangerous,1,8,I,I-EVAL,E,E-SYS
gorilla,Animals,eats banana,1,5,E,E-BEH,E,E-BEH
gorilla,Animals,has hair,1,10,E,E-EXCOMP,E,E-EXCOMP
gorilla,Animals,like a monkey,1,12,T,T-COORD,T,T-SYN
gorilla,Animals,lives in the jungle,1,14,S,S-LOC,S,S-LOC
grapes,Fruits,eg - black,1,6,T,T-SUBORD,E,E-EXSURF
grapes,Fruits,is eaten,1,6,S,S-ACTION,E,E-BEH
grapes,Fruits,a fruit,1,15,T,T-SUPER,T,T-ONT
grapes,Fruits,eg - green,1,8,T,T-SUBORD,E,E-EXSURF
grapes,Fruits,is sweet,1,7,E,E-INSURF,E,E-INSURF
grapes,Fruits,used for making wine,1,21,S,S-ACTION,S,S-FUNC
grapes,Fruits,vineyard,1,5,E,E-WHOLE,E,E-WHOLE
grapes,Fruits,eg - white,1,5,T,T-SUBORD,E,E-EXSURF
grapes,Fruits,tastes good,1,8,I,I-EVAL,E,E-EXSURF
grasshopper,Animals,an animal,1,5,T,T-SUPER,T,T-ONT
grasshopper,Animals,is green,1,9,E,E-EXSURF,E,E-EXSURF
grasshopper,Animals,an insect,1,11,T,T-SUPER,T,T-ONT
grasshopper,Animals,jumps,1,5,E,E-BEH,E,E-BEH
grasshopper,Animals,is a plague,1,14,T,T-SUPER,S,S-EVENT
grasshopper,Animals,is ugly,1,5,I,I-EVAL,I,I-EVAL
grasshopper,Animals,causes harm,1,6,I,I-EVAL,E,E-BEH
grasshopper,Animals,eats havest,1,16,S,S-ACTION,E,E-BEH
grill,Constructions,barbecue,1,21,S,S-EVENT,S,S-FUNC
grill,Constructions,family,1,6,S,S-SOCORG,S,S-SOCORG
grill,Constructions,food,1,6,S,S-OBJECT,S,S-OBJECT
grill,Constructions,meat,1,5,S,S-OBJECT,S,S-OBJECT
grill,Constructions,meeting,1,5,S,S-EVENT,S,S-SOCORG
grill,Constructions,sausages,1,8,S,S-OBJECT,S,S-FUNC
grill,Constructions,used for cooking,1,6,S,S-FUNC,S,S-FUNC
grill,Constructions,made of iron,1,7,E,E-MAT,E,E-MAT
guitar,Musical instruments,is nice,1,6,I,I-EVAL,I,I-EVAL
guitar,Musical instruments,used for making music,1,16,S,S-FUNC,S,S-FUNC
guitar,Musical instruments,eg - electric stove,2,5,T,T-SUBORD,E,E-MAT
guitar,Musical instruments,has strings,1,20,E,E-EXCOMP,E,E-EXCOMP
guitar,Musical instruments,a musical instrument,2,13,T,T-SUPER,T,T-SYN
guitar,Musical instruments,made of wood,1,9,E,E-MAT,E,E-MAT
gun,Weapons,caliber,1,5,T,T-SUBORD,E,E-SYS
gun,Weapons,is dangerous,1,10,I,I-EVAL,E,E-SYS
gun,Weapons,fear,1,8,I,I-EVAL,I,I-EMOT
gun,Weapons,used for killing,1,13,S,S-FUNC,S,S-FUNC
gun,Weapons,used for stealing,1,6,S,S-FUNC,S,S-ACTION
gun,Weapons,a weapon,1,18,T,T-SUPER,T,T-SUBORD
gun,Weapons,has bullets,1,15,E,E-INCOMP,E,E-INCOMP
gun,Weapons,made of fire,1,6,T,T-SUPER,E,E-MAT
gun,Weapons,serves for defense,1,7,S,S-FUNC,S,S-FUNC
hair,Body parts,is blond,1,6,E,E-EXSURF,E,E-EXSURF
hair,Body parts,is brown,1,5,E,E-EXSURF,E,E-EXSURF
hair,Body parts,is brunet,1,5,E,E-EXSURF,E,E-EXSURF
hair,Body parts,is curly,1,8,E,E-EXSURF,E,E-EXSURF
hair,Body parts,hair,1,5,T,T-SYN,T,T-SYN
hair,Body parts,is long,1,16,E,E-QUANT,E,E-SYS
hair,Body parts,is soft,1,5,E,E-EXSURF,E,E-EXSURF
hair,Body parts,is straight,1,10,E,E-EXSURF,E,E-SYS
hair,Body parts,different colors,1,7,E,E-EXSURF,E,E-EXSURF
hair,Body parts,eg_-_ is short,1,12,E,E-QUANT,E,E-SYS
hamburger,Food,a food,1,15,T,T-SUPER,T,T-ONT
hamburger,Food,tomatoe,1,5,S,S-LIVING,E,E-INCOMP
hamburger,Food,a fast food,2,7,S,S-OBJECT,T,T-SUBORD
hamburger,Food,tastes good,1,11,I,I-EVAL,I,I-EVAL
hamburger,Food,made of chicken,1,7,T,T-SUPER,E,E-MAT
hamburger,Food,made of meat,1,16,T,T-SUPER,E,E-INCOMP
hammer,Tools,carpenter,1,8,S,S-PERSON,S,S-PERSON
hammer,Tools,is heavy,1,9,E,E-SYS,E,E-SYS
hammer,Tools,nails,1,17,S,S-OBJECT,S,S-FUNC
hammer,Tools,is noisy,1,5,E,E-SYS,E,E-SYS
hammer,Tools,a tool,1,14,T,T-SUPER,T,T-SYN
hammer,Tools,used for hitting,1,13,S,S-FUNC,S,S-FUNC
hammer,Tools,used for nailing,1,9,S,S-FUNC,S,S-FUNC
hammer,Tools,has grip,1,7,E,E-EXCOMP,E,E-EXCOMP
hammer,Tools,made of metal,1,5,E,E-MAT,E,E-MAT
hammer,Tools,made of wood,1,9,E,E-MAT,E,E-MAT
hammock,Objects,outdoors,1,5,E,E-MAT,S,S-LOC
hammock,Objects,is relaxing,1,16,I,I-EVAL,I,I-EMOT
hammock,Objects,used for resting,1,14,S,S-FUNC,S,S-FUNC
hammock,Objects,used for rocking,1,7,S,S-FUNC,S,S-FUNC
hammock,Objects,used for sleeping,1,7,S,S-FUNC,S,S-FUNC
hammock,Objects,made of fabric,1,6,E,E-MAT,E,E-MAT
hammock,Objects,found in the park,1,6,S,S-LOC,S,S-LOC
hammock,Objects,is tied to 2 trees,1,8,S,S-ACTION,S,S-SPAT
hand,Body parts,is big,1,7,E,E-QUANT,E,E-QUANT
hand,Body parts,is small,1,6,E,E-QUANT,E,E-QUANT
hand,Body parts,is strong,1,6,E,E-SYS,E,E-SYS
hand,Body parts,used for caressing,1,6,S,S-FUNC,S,S-ACTION
hand,Body parts,used for writing,1,5,S,S-FUNC,S,S-ACTION
hand,Body parts,is white,1,6,E,E-EXSURF,E,E-EXSURF
hand,Body parts,has fingers,1,11,E,E-EXCOMP,E,E-EXCOMP
hand,Body parts,has nails,1,8,E,E-EXCOMP,E,E-EXCOMP
handbag,Accessories,an accesory,1,12,T,T-SUPER,T,T-SYN
handbag,Accessories,used for storing things,1,5,S,S-FUNC,S,S-FUNC
handbag,Accessories,is useful,1,6,I,I-EVAL,I,I-EVAL
handbag,Accessories,used by women,1,14,S,S-PERSON,S,S-FUNC
handbag,Accessories,made of leather,1,17,E,E-MAT,E,E-MAT
hanger,Accessories,clothes,1,8,S,S-OBJECT,S,S-FUNC
hanger,Accessories,used for hanging,1,25,S,S-FUNC,S,S-FUNC
hanger,Accessories,is inside wardrobes,1,8,S,S-LOC,S,S-LOC
hanger,Accessories,made of metal,1,6,E,E-MAT,E,E-MAT
hanger,Accessories,made of plastic,1,12,E,E-MAT,E,E-MAT
hanger,Accessories,made of wood,1,19,E,E-MAT,E,E-MAT
harmonica,Musical instruments,music,1,13,S,S-FUNC,S,S-FUNC
harmonica,Musical instruments,sound,1,5,S,S-FUNC,E,E-EXSURF
harmonica,Musical instruments,a musical instrument,2,20,T,T-SUPER,T,T-ONT
harmonica,Musical instruments,made of metal,1,7,E,E-MAT,E,E-MAT
harmonica,Musical instruments,a wind musical intrument,3,12,T,T-SUPER,T,T-SUPER
harp,Musical instruments,nice,1,10,I,I-EVAL,I,I-EVAL
harp,Musical instruments,sound,1,12,S,S-FUNC,E,E-EXSURF
harp,Musical instruments,used for making music,1,14,S,S-FUNC,S,S-FUNC
harp,Musical instruments,has strings,1,14,E,E-EXCOMP,E,E-EXCOMP
harp,Musical instruments,a musical instrument,2,19,T,T-SUPER,T,T-SUPER
hat,Clothing,clothing,1,6,T,T-SUPER,T,T-SUPER
hat,Clothing,is elegant,1,7,I,I-EVAL,E,E-SYS
hat,Clothing,used for protecting,1,12,S,S-FUNC,S,S-FUNC
hat,Clothing,different shapes,1,6,E,E-EXSURF,E,E-EXSURF
hazelnut,Fruits,is brown,1,5,E,E-EXSURF,E,E-EXSURF
hazelnut,Fruits,is eaten,1,6,S,S-ACTION,S,S-ACTION
hazelnut,Fruits,a foodstuff,1,5,T,T-SUPER,S,S-FUNC
hazelnut,Fruits,a dried fruit,2,7,T,T-SUPER,T,T-SUBORD
hazelnut,Fruits,tastes good,1,12,I,I-EVAL,E,E-INSURF
hazelnut,Fruits,it is a fruit,1,18,T,T-SUPER,T,T-SUPER
headphones,Accessories,used for listening,1,25,S,S-FUNC,S,S-FUNC
headphones,Accessories,used for listening to music,1,22,S,S-FUNC,S,S-FUNC
headphones,Accessories,used for listening to the radio,1,5,S,S-FUNC,S,S-FUNC
headphones,Accessories,used on the ears,1,10,S,S-LOC,S,S-ACTION
heart,Body parts,beats,1,14,E,E-BEH,E,E-BEH
heart,Body parts,an organ,1,8,T,T-SUPER,T,T-ONT
heart,Body parts,is red,1,8,E,E-EXSURF,E,E-INSURF
heart,Body parts,stroke,1,5,S,S-SOCART,S,S-EVENT
heart,Body parts,represents love,1,13,S,S-SOCART,I,I-REP
heart,Body parts,is essential to live,1,12,E,E-SYS,I,I-REP
helicopter,Vehicles,used for flying,1,15,S,S-FUNC,S,S-FUNC
helicopter,Vehicles,used for rescuing,1,5,S,S-FUNC,S,S-FUNC
helicopter,Vehicles,has airscrews,1,16,E,E-EXCOMP,E,E-EXCOMP
helicopter,Vehicles,a mean of transportation,1,11,T,T-SUPER,T,T-SUPER
helmet,Accessories,bicycle,1,8,S,S-OBJECT,S,S-OBJECT
helmet,Accessories,motorbike,1,20,S,S-OBJECT,S,S-OBJECT
helmet,Accessories,used by the soldier,1,8,S,S-PERSON,S,S-PERSON
helmet,Accessories,used for protecting,1,16,S,S-FUNC,S,S-FUNC
helmet,Accessories,made of plastic,1,5,E,E-MAT,E,E-MAT
hippopotamus,Animals,an animal,1,17,T,T-SUPER,T,T-ONT
hippopotamus,Animals,is aquatic,1,8,E,E-SYS,E,E-SYS
hippopotamus,Animals,is big,1,17,E,E-QUANT,E,E-QUANT
hippopotamus,Animals,is dangerous,1,7,I,I-EVAL,E,E-SYS
hippopotamus,Animals,is heavy,1,5,E,E-SYS,E,E-QUANT
